사람인-커리어,,,,,,,,,
작성일,조회수,커뮤니티명,질문 제목,질문 내용,답변 1,답변 2,답변 3,답변 4,답변 5
2022.08.10 작성,209,사람인-커리어,두회사 고민입니다.,"회사 2군데 붙었는데 고민입니다(회사a,b) a회사는 전장설계쪽이고 강소기업입니다 제가 전기과나와서 알맞은 기업이라고 생각하고 plc관련 교육도 해주는것으로 알고있습니다. 그리고 출장도 나는걸로알고있고 길게는 6개월 짧게는 한주? 이렇게 간다고 들었습니다. b회사는 선박안에 소방쪽이고 전자관련이라고 들었고 외국계 중소기업입니다. 소방 관련업무지만 a회사보다 연봉 조금 더쌥니다. 여기도 출장은 있지만 짧게 짧게 다니는것으로 알고있습니다. 저는 사실 외국계가 많이 끌리는 편이지만 친구들은 a기업에서 경력을 쌓아라는 말을 많이 들었습니다. 어떻게 해야할지 몰라서 글을 남깁니다. 다른분들의 의견이 궁금합니다.",답변 없음,,,,
2022.08.10 작성,71,사람인-커리어,아무리 직원이 급해도,전화와서 내일면접 가능하냐고 물어보는게 맞나요? 최소 며칠은 줘야지 회사가 좋든 안좋든 지원자에게 너무 무례한거 아닌가요?,면접 강행한 것도 아니고 되냐고 물어본 건데 레몬타르트님 댓글처럼 생각하시면 될 것 같아요,중소기업 3~4군데 면접 봤을때 빠르면 이틀후로 면접날짜를 잡더라구요.,"좀 규모가 큰 회사면 그런식으로 진행하지 않긴 하는데...... 중소회사면 지원 이후에 이력서 열람하고 바로 면접일자 잡는 경우 있어요. 단 기간에 빠르게 면접 보고 빨리 결정하고 싶은 마음도 있겠고 지원자가 많아서 한명씩 얼른얼른 면접 보려는 경우도 있겠구요. 저는 당장 퇴근하고 오늘 바로 보자고 했던 회사도 있었는데, 에둘러서 잘 말씀드리고 면접 일자 조정해서 봤던 적도 있어요. 이부분은 마냥 무례하다고만 생각하지 마셨으면 좋겠고 회사측이랑 조율할 수 있는 부분이라고 보시면 될 것 같아요. 물론 저는 텍스트로만 읽는 것이라서 전화 준 인사 담당자의 어투가 어땠는지까지는 모르겠지만....평이한 톤으로 물어본 거라면 충분히 조율하시면 되는 부분입니다.",,
2022.08.10 작성,225,사람인-커리어,퇴사가 마렵습니다,"현 회사에서 이제 4개월차이 넘어갑니다 웹디자인팀으로 들어왔구요 그런데 벌써 그만두고 싶다는 생각이 머리를 지배합니다 디자인팀 상사가 있음에도 상세페이지 기획부터 제작까지 제가 도맡아서 진행하고 있고 컨펌은 담당자와 대표, MD팀 까지 다 보고 진행합니다 이 부분도 이제는 나아져서 디자이너끼리 결정하고 있는데 또 언제 바뀔지 모르겠습니다 마케팅할 사람이 없어 디자이너에게 인스타그램 관리를 맡기는데 처음에는 어느정도 디자인 요소가 들어가니 알겠다고 하고 진행했습니다 무엇보다 마케팅할 직원을 채용하겠다고 말씀하셨기도 하구요 근데 점점 전문적이고 디테일한 작업(광고진행, 광고성과, 이벤트 기획 등)을 지시합니다 팔로워수가 어쩌고 저쩌고 하면서요 그리고 한번은 면담을 했는데 어느 정도 배려를 해주면 야근을 해야하는데 요즘 애들은 야근이라는 개념을 싫어하더라고 하시면 야근하는 어떤 직원을 칭찬하는 겁니다 저한테도 강요하는 것처럼 느껴졌어요 저는 점점 숨이 막혀오고 스트레스 받아가고 있는데 제 윗 상사는 커버쳐주거나 그런 거 없이 본인 입에 풀칠하기도 바쁜 사람이라 뭘 기대하기도 어렵습니다 그렇게 4개월을 버티는데 제가 코로나에 감염되어서 격리를 하게 되었습니다 그러면서 코로나 걸렸던 다른 직원들에게는 유급, 무급, 재택근무 이런 얘기가 없었는데 유독 저한테는 3번을 물어보더니 급기야 전화로 유급하고 재택근무 하려면 일의 차질 없이 진행해야한다고 하는 겁니다 아픈 사람한테 이게 할 소리인가요... 저에 대한 배려와 존중은 느껴지지 않아 마음 상해서 일 안할테니 무급처리 해달라고 했습니다 상사는 알겠다고 푹 쉬라고 하더니 제가 관리하던 인스타 대신 하겠다면서 인스타 뭐 올려야하냐부터 아이디, 비번, 보안코드 등등 물어보는데 정말..ㅋㅋㅋㅋㅋㅋㅋ 팔로워 500명도 안되는 계정 일주일 관리 안하면 무슨 큰일이라도 나는 것처럼 아이디, 비번 제가 공유한 파일 확인하면 알 수 있는 걸 물어보시고 본인이 모르겠으면 제가 복귀하면 진행하겠다 대표한테 얘기할 수 있는 거 아닌가요?? 한계임박하면서 진짜 제가 왜 이 회사를 다니나 싶었어요 솔직히 다른 직원 분들은 저한테 너무 열심히한다고 쉬는 시간 안 갖냐고 할 정도로 주어진 시간에 최선을 다하고 부족하다 싶으면 개인적인 욕심으로 집에서도 인스타 관리에 힘썼습니다 격리가 끝나면 회사로 복귀할텐데 복귀하면서 사직서 내고 싶은 마음이 너무나 큽니다 복지, 격려의 응원, 칭찬 하나 없는 이 회사에서 제가 계속 일을 해야할까요",어려운 일이 아니라서 그런것 같은데용? 젊은 사람들 그런건 금방 따라하고 습득력도 좋구용 특별하거나 장인정신이 필요한 전통적인 일도 아닌뎅 굳이 그렇게 할 필요가 있나요? 그만큼 디지털이 상용화된지 오래되서 그런 업무는 누구나 할 수 있는 일이 되었어용. 현실은 그런겁니다. 젊은 사람들 한테 밀린 것 밖에 없는듯 합니다. 경력이 목적인지 돈이 목적인지는 모르겟으나 결정은 글슨이님이 하시는게 맞을 듯,"아플 때 정말 서럽게 만들었네요. 업무 자체도 기존 업무에서 벗어났고, 오버워크 하게 만들면서 야근 안 한다고 압박 주는 것 자체가 일단 아니라고 봅니다. 물론 금전적 보상이 따른다면 다른 얘기지요. 하지만 그런 것이 없어 보이는 것 뿐더러 어떤 보상도 없는데 굳이 버텨야 할 이유가 있을 까요? 경력을 쌓아야만 하는 상황이면 다른 회사에서도 쌓아도 된다고 봅니다. 그 회사에서 버티면서 쌓을 이유가 없어 보입니다.","업무 분담/수행 등의 부분에서나 회사 시스템 자체에도 체계적이지 못한 분위기라 많이 힘드실 것 같아요 .. 업무를 수행하는 만큼 피드백 되는 부분이 있어야 (금전적이든 정신적이든) 그게 또 하나의 업무 수행 원동력이 될 텐데 원동력은 커녕 .. 사기만 팍팍 깎아 먹는 것 같네요 ... 레몬타르트님 말씀처럼 웹디 업무도 만만치 않으실 거고,, 웹디 커리어를 쌓으셔야 앞으로의 커리어 계획이나 이직에 있어 차질이 없을 텐데 ... 인스타 관리라니 ㅠㅠ 게다가 야근 강요까지,,,^^,, 그 누구라도 글쓴이님 상황에 처하면 재직기간이 얼마가 되었든 퇴사 생각이 자꾸 날 것 같아요 ....ㅠㅠ","혹시 다니는 회사가 광고회사이신 건가요? 광고회사가 아니더라도 인하우스 웹디로 들어가신 걸까요? 인하우스 웹디로 입사하면 보통 온라인 배너, 홈페이지, 상세페이지 가릴 거 없이 사내 웬만한 디자인 관련 업무는 다 처리한다고 들었는데 마케터가 할 일까지 디자이너에게 하라뇨.... 저라면 당장 퇴사할 거 같아요. 게다가 복지도 없고 은근슬쩍 야근강요까지ㅠㅠ....",
2022.08.10 작성,79,사람인-커리어,채용 검진 이후 떨어질수도 있나요?,"지원한 회사는 전공과 꼭 맞는곳이었고, 심지어 前회사에서 업무관련으로 윗분이랑 같이 2~3번 정도 갔었던 회사입니다( 사람인을 찾아보니 사람 채용을 하길래 확인해보니 서류전형-1차면접-2차면접-최종합격 이라고 써있었고 오전에 서류 지원후 당일 오후에 연락이와서 1차면접을 6월 말쯤에 봤습니다. 그 후 몇일후 연락을 준다길래 기다렸으나, 없어서 담담히 지나갔고 한달뒤, 다른 회사도 지원을 하고 면접을 보고 집으로 오는길에 연락이 와서 이틀 후 2차면접이 있다고 안내를 받았습니다. 이틀 후, 1차 면접때 같이 이야기하셨던분과 다시 이야기하면서 이런저런 이야기를 들었고, 채용검진이 있으니 지정한곳에서 받으라고 하여 다음날 받았습니다. 8월 첫주는 휴가기간이라서, 다음주인 8/8일부터 연락을 준다고 하였고, 출근을 하게되면 8/16일 부터라는 안내를 받았습니다. 그렇게 기다리고 있는데 연락은 안오고, 오늘(8/10) 아침에 채용공고를 확인해보니 똑같은 내용으로 재등록이 되어있더군요. 문제가 될만한건 혈압, 체중, 간..수치 정도 인데 어쨰 쫌 씁슬하네요... 채용검진에서 떨어지는경우는 별로 없다고 했는데. 아 지원한 직무는 연구직입니다.. 생산쪽에서 일을 배우면서 같이 기계돌리며 실험하는 쪽.",일반적인 검사 수치로는 조금 기준을 오버하더라도 잘 안떨어집니다...허나 가지고 있는 특이한 질병이 있을경우 떨어지는걸 봤습니다.,혈압이나 콜레스테롤 이런걸로 떨어지진 않아요.,,,
2022.08.10 작성,151,사람인-커리어,이직 고민,"안녕하세요^^ 저는 현재 부동산업에서 경영지원부로 일하고 있는 8개월차 직장인입니다. 저희 회사는 스타트업(?)이라고 해야할까요? 경영지원부는 저 한명입니다. 처음에는 대표님들도 좋으시고 근무하는 환경도 나쁘지 않아서 오래 일할 수 있겠다 싶었는데... 인사적으로나 회계업무적으로나 경영적으로나 대표님은 저에게 물어보십니다. 물론, 그게 제 일이니까 하겠는데..음..조금 과도합니다. 회식이 잦은 회사인데...저는 회식하는 것을 별로 좋아하지 않습니다. 필수는 아니라고 하지만 무언의 압박감이 느껴지긴합니다. 아! 저는 또한 혼자 이 회사에서 여직원 입니다.... 가장 이직하고 싶은 이유는..점심시간도 정해져 있지 않습니다. 밥을 2시 넘어서 먹을때가 많습니다. 그리고 회사에서 대표님들끼리 드시고 간 술병들이나 그 장소를 치우고 퇴근하지않아서 몇번이나 제가 치웠구요. 제가 치우고 나면 못치우고 갔다 미안하다고 하시긴 하는데...휴식시간도 정해진게 없습니다. 입사한지 8개월된 저도 아직 근로계약서를 작성하지 못하였습니다. 이직을 준비하려고 하는데 퇴사 통보를 당일에 해도 괜찮을까요? 아무리 사람이 괜찮아도 시설이 좋아도..술과 휴식시간이 보장되지 않는건 조금 힘이 드네요.. 제가 너무 예민한 걸까요?","전혀 예민하지 않으신 것 같아요. 다른 부분을 다 떠나서 입사한지 8개월이 되었는데 아직도 근로계약서를 작성하지 않았다는 게 너무너무 마음에 걸리네요. 기본적인 걸 지키지 않는 회사는 저는 글쎄요..영 못 미덥고 오래 있을만한 곳 아닌 것 같아요. 퇴사통보는 당일하셔도 되긴 하지만, 업무적으로 인수인계가 필요할 수 있으니 더 나와달라고 할 수도 있어요. 지금 혼자서 해당 업무를 보신다면 새 직원 뽑을 때까지 있으라고 할 수도 있고요. 그렇게 얘기가 나오면 한달 정도만 시간을 주시고 그 이상은 힘들다고 딱 거절하시구요!",,,,
2022.08.10 작성,20,사람인-커리어,면접 복장 머리,제가 내일 병원 면접이 있는데 복장은 슬랙스에 자켓 입고 머리는 그냥 갈려고 하는데 괜찮을까요??,지금 헤어 스타일이 어떠신가용??,,,,
2022.08.10 작성,67,사람인-커리어,모베이스전자 수원사업장 면접갈려고 하는데 아시는 분,"안전관리 직무로 면접 갈 예정이예요. 근무환경이나 회사 상황, 분위기 등 알려주세요. 연구개발 직무는 영어면접이 있던데 다른 직무도 영어면접 보는지도 궁금해요.",저는 서류탈락 했지만 면접 잘 보시고 나중에 후기 알려주세요 도움이 못 돼서 죄송합니다. 응원하겠습니다.,,,,
2022.08.09 작성,214,사람인-커리어,",,ㆍㅅ",".,ㆍ.,.,ㆍ,,",답변 없음,,,,
2022.08.09 작성,58,사람인-커리어,면접 후 면접비주는 것이 면접의 합격&불합격과 연관이 있는건가요?,"어느정도 규모있는 기업에서 면접을 보았습니다. 금요일에 면접을 보고 다음주중에 합격자에게 연락준다고 하더군요 그러던 중 그다음주 화요일에 면접비 준다고 연락이 왔는데요. 이게 면접의 합격과 불합격에 관련이 있는건가요? 면접결과 알려준다는 기한은 아직 수,목,금 3일 남았는데, 면접비라는 걸 처음받아봐서 잘 몰라 질문글 올려봅니다.",걍 주는겁니다,저는 면접보고 바로 면접비를 지급하더라구요. 주는지도 몰랐는데 ㅎㅎㅎㅎ 불합격했지만 그런 걸 보고 더 아쉬웠네요 ㅜㅜ,면접보기 전에 면접비주는 회사도 있었습니다 그리고 떨어졌구요...ㅠ 회사 규정상 면접보러 온 사람에게 전부 주는겁니다!,"현재 중견기업에 재직중이고, 면접 30번 넘게 참석했는데 단언코 말할수 있어요 면접비 지급과 합불은 관계 없습니다",면접비 주는 회사들 많아요 합불과는 연관없을겁니다
2022.08.09 작성,42,사람인-커리어,면접후 전형 변경,정규직 전형 면접을 보고 난 후 결과가 너무 궁금해서 일주일뒤에 연락을했더니 계약직으로 전형을 바꾼다네요... (개인적으로 계약직은 안한다고한 경우) 이런경우도 있나요?ㅜㅜㅜㅜ,"음.....우선 저는 그런 경우를 겪어보진 못했는데, 제 친구가 회사에 정규직으로 입사했는데 한달뒤 즈음에 계약직으로 6개월하고 이후에 정규직으로 전환하는 걸로 계약서 다시 썼었어요. 왜그런가 했는데 나라에서 여러가지 주관하는 지원사업이 있는데 그거 혜택을 받으려면 계약직으로 등록을 해야된다던가..그랬다고 하네요. 아주 흔하진 않지만 지원금 때문에 종종 이런 일이 생기는 것 같아요.",,,,
2022.08.09 작성,37,사람인-커리어,인하우스 vs 에이전시 마케터,"당연히 인하우스 마케터가 좋은 건 아는데 고민이 됩니다. 인하우스 : A 회사 대행사 : B 회사 라고 치면, 현재 두 군데 합격한 상태이고 고민 상태에 있습니다. A 회사는 향수, 디퓨저 등 만드는 제조 업체이고 자체 브랜드 홍보 업무를 하게 됩니다. MD와 마케터가 하는 일들을 종합적으로 하고 검색광고, 구글 등 그런 마케팅을 진행하는데요. 문제는 사원수가 너무 적다는 겁니다. 제가 들어가면 직원은 3명 (디자이너, AMD, 마케터) 이 되고 대표님이 마케팅 전공이라 제 사수는 대표님이 된다는 거에요. 많은 걸 배울 수 있다고 하고 면접 볼 때 대표님이 좋아보이긴 했는데... 직원 수가 적은 게 걸리네요. 참고로 설립 4년된 스타트업 입니다. B 회사는 광고대행사고, 저는 콘텐츠 마케터로 업무를 진행하게 됩니다. 인스타그램에 서울핫플, 서울맛집 이런 팔로워 수가 많은 인플루언서 채널을 운영하는데요. 직원수는 30명 정도 되는 것 같아요. 문제는 제 사수는 많겠지만 프로젝트는 개인별로 진행한다고 해요. 예를 들어 맛집, 관광, 숙박업체 등 하나의 브랜드와 연결해서 계속 홍보하는? 말그대로 B to C 업무인데, 제가 생각했었을 때 그런 콘텐츠를 인스타에 업로드하고 데이터 확인하고,,, 입찰 제안서 작성하고... 가 다인 것 같습니다. 물론 브랜드 측과 컨셉, 스토리 같은 것도 협의 하면서 진행하겠죠. 저는 나중에 브랜드 마케터가 되는 게 목표인데요. 어딜 가면 제 커리어를 잘 쌓을 수 있을지 걱정됩니다. 마케팅에 종사하고 계신 분들 조언 부탁 드립니다.","무조건 대행사 가세요. 처음에 엄청 큰 곳 아니면, 인하우스 가면 마케터로서 배울 것도 없고 물경력 됩니다. 대행사 가서 콘텐츠 마케팅 일 잘 배우시면 그게 경쟁력이 됩니다. 어차피 마케터는 어딜가든 초봉 짜니까 일만 잘 배우시고 1년 채우고 째세요. 그럼 화이팅~",퍼포먼스 마케팅 vs 콘텐츠 마케팅 으로 나눠지는 것 같네요 브랜딩 마케팅을 하고 싶다고 하셨는데 요즘은 마케팅 경계없이 다할 줄 알면 좋긴해요 향수에 관심이 있으신가요? 인하우스라거 다 좋은 건 아니고 본인이 거기서 재밌어할 것 같은지가 중요하구요 사원수 적고 대표님이랑 직속으로 일하면 아무래도 실적/매출에 압박이 좀 있을 수도있어요 대표님 성향에 따라 다르겠지만… 저는 대행사 - 인하우스 루트로 점핑했는데 대행사에서 좀 다양한 채널을 다뤄보고 인하우스에서 처음 퍼포먼스를 해봤는데 오히려 좋았습니다 콘텐츠가 브랜딩쪽으로 더 할 수 있는 기회가 있으니 저는 에이전시를 가보는 것도 좋을 것 같네요,,,
2022.08.09 작성,175,사람인-커리어,첫직장인데 실수투성이네,첫직장 쌩신입인데 실수투성이네 내자신이 용납안된다 근무한지 일주일됐는데,"본인에게 업무가 아직 완전하게 숙련되지 않았을 뿐더러, 생각처럼 척척 안 되니 스스로에게 미운 마음이 생기는 거 너무나 잘 이해 됩니다만, 본인 스스로에게 엄격한 기준으로 채찍질 하다 보면 금방 지치실 것 같아 걱정이 되네요..! 누구나 처음은 있고, 실수를 통해 배우고 업그레이드 하게 되는 거 아닐까요 ㅎㅎ 신입이 원래 업무 하다가 헤매기도 하고, 실수도 하는 포지션이에요!! 생각처럼 잘 안 된다고 스스로에게 다그치기 보다, 더 효율적으로 업무 처리하는 법을 숙지해 나가시면 됩니다! :) 잘 하실 거예요! 파이팅!",스스로에게도 여유를 주셔야 합니다. 오타 같은 경유는 본인이 꼼꼼하게 체크하시고 업무 적인건 시간이 지나면서 실수가 줄어들기 마련입니다. 첨부터 많은걸 스스로에게 짐을 지어주지 마시길 바랍니다.,첫직장에 쌩신입이면 실수하면서 배우는 게 본인 업무라 생각하시면 됩니다.,,
2022.08.09 작성,162,사람인-커리어,금요일날 면접보라고 연락왔습니다. 근데 혹시 모르니 다른 곳도 지원해야하나요?,4군데 지원했는데 그 중 한 회사가 금요일날 면접보라고 사람인카톡문자로 왔습니다. 근데 그 회사가 경쟁률이 좀 있고 남은 3군데는 안되는 느낌이 좀 강한데 다른 회사 지원 계속 해봐야하나요?,합격하기 전까지 꾸준하게 지원을 하셔야 합니다. 본인이 경쟁력이 있다고 하더라도 최종 합격이 있기 전에는 지원서를 제출하시길 바랍니다.,면접 일자가 겹칠 수도 있으니 우선은 금요일 면접 다녀오시고 추가로 더 지원해보면 좋을 거 같아요!,,,
2022.08.09 작성,90,사람인-커리어,1년 연장근무 후 퇴사 ?,최소1년 연장근무로 승진제의들어왔는데 월급은 ★세전 200후반★ 입니다. 근데 물경력 근무이고 1년 더 다니면 4년찬데 더 다닌다고 실력이 늘거나 하진 않습니다 ㅎㅎ.. 저는 이직을 준비중이라 자격증 취득은 했으나 포트폴리오나 경력이 없어 아직 이직이 쉽진않습니다. 돈은 필요하고 업무는 물경력이고 이직은 바로 안되는 이 상황이라면 여러분은 어떻게 하시겠나요 ?,저라면....돈이 필요하다면 1년 정도는 그냥 다닐 거 같아요. 물론 다니면서 다음 이직을 위해 준비하고요. 포트폴리오든 추가 자격증이든 시간이 필요한 부분들인데 그동안에 돈도 필요할 거구요. 준비에 심각하게 영향이 갈 정도로 야근이 잦고 체력적으로 무리가 가는 일이 아니라면 준비기간이라고 생각하고 1년 더 다닐 거 같아요! 1년은 생각보다 금방 지나가니까요 ㅎㅎ,"입사 한다고 하여 업무적으로 업그레이드가 되어, 이직에 도움이 되는 상황도 아니고, 금전적인 보상이 좋은 것도 아니라 크게 추천 드리고 싶지 않아요 .. (세전 200이면 세후 180정도ㅠㅠ) 다른 공고 서칭해 보시며, 글쓴이님께서 '포트폴리오에 추가할 수 있는 내용의 업무'를 할 수 있는 곳으로 입사하셨으면 좋겠네요...!",,,
2022.08.09 작성,241,사람인-커리어,경영기획은 회계지식이 많이 필요한가요?,경영기획에 대해 업무 루틴이 알고 싶습니다! 그리고 필요한 역량도 궁금합니다!,답변 없음,,,,
2022.08.08 작성,74,사람인-커리어,면접합격 후 입사전 연봉문의,안녕하세요. 사회생활 처음하는 신입입니다 ㅠ 이번에 면접을 합격했습니다. 유선상으로 안내받았고 기타 연봉에 대한 다른 안내는 없었습니다. 면접 볼때도 연봉 최저 어느 수준까지 생각하냐는 질문 말고는 연봉언급이 없었는데 연봉도 모르고 입사하는 건 조금 이상한 것 같아서요. 미리 전화해서 질문해도 실례가 되지 않는 걸까요? 도움 주시면 감사하겠습니다.,그럼 최저주려고 할거에요 일단은 보시고 기업방문해서 서로 조절하는 타임 있을걸요,금액에 따라 안가실 생각이라면 유선문의. 그래도 가실꺼면 첫출근 계약서쓸때 확인하셔요. 전 전화나 면접시 물어봥ㅎ었어요,,,
2022.08.08 작성,80,사람인-커리어,해외개인사업후 대기업 파견직 vs 중소기업 정규직 정말 고민되네요.,"제가 20대 초반부터 해외에서 창업을 하고 5년 이상 개인사업을 하다가 올해 들어왔어요. 해외에선 경제적으로 안정적이었고 사업에 대해 큰 문제는 없이 지내고 있었지만 여러 일들이 겹치고 스트레스가 너무 심해서 한국으로 귀국을 하게 됐습니다. 지금은 가장으로서 일을 다시 찾아야 하는데 개인사업과 연관된 업무를 하고 싶어서 그와 관련된 회사들을 찾고 있었어요. 근데 제가 사업했던 업무들은 당연히 경력으로 쳐주지 않아서 어느 쪽으로든 신입으로 들어가야 하는 상황인데 최소 2년 정도는 경력을 쌓기 위한 곳으로 가고 싶습니다. 연봉, 인식, 복지 이런 것들은 상관 안 하고 제가 2년 동안 회사를 다니면서 업무와 관련된 자격증을 따고 그 후에 이직을 했을 때 도움이 된다고 말할 수 있는 회사를 고른다면 어디를 고르는 게 현명한 선택인지 알고 싶습니다. 대기업 파견직 vs 중소기업 정규직 (두 곳 모두의 직무는 제가 했던 사업과 관련된 업무입니다.)",답변 없음,,,,
2022.08.08 작성,45,사람인-커리어,미취업자 전년도원천징수영수증 관련 질문입니다.,저는 요번 년도 처음 취업시장에 뛰어든 사람입니다. 운좋게 면접 기회를 얻게 되었는데 해당 기업에서 건강보험가입이력서or 고용보험가입이력서 택 1 전년도 원천징수영수증 최종학교 졸업증명서 최종학교 성적증명서 증명사진(반명함) 이렇게 요구합니다. 이중 전년도 원천징수영수증은 수익이 있는 인원에 한해 연말정산을 진행한 결과로 알고있는데 어떻게 발급 받는지 궁금합니다. 건강보험 가입이력서도 그냥 지금것 있었던 보험 이력 다 출력하면 되는 건가요,전년도 원천징수영수증의 경우 국세청 홈택스 홈페이지에서 직접 발급 가능하세요! 그리고 건강보험 가입이력서는 아마도 건강보험 자격득실확인서 이거 말하는 것 같은데...그냥 가져오라고 했다면 모든 내역 다 출력해가면 될 것 같아요~,,,,
2022.08.08 작성,203,사람인-커리어,빠른년생,사회초년생인데요 빠른년생 떄문에 고민입니다. 물론 사회나가면 빠른없고 다아는데 본인은 겪어봐야 아는 문제에요 얼마나 귀찮고 짜증나는지 야로 부르던 친구나이 사람들을 형이라고 불러야하는 현실괴리감 동생으로 부르던 애들을 친구로 지내야하는 괴리감 왜빠른으로 태어나서... 라고 생각하게 되요 암튼 마주치면 좀 현타올거같긴하네요,회사에서 형이라고 부를 일도 동생이라고 할 일도 없어요 보통 직급으로 부르죠,,,,
2022.08.08 작성,169,사람인-커리어,실내디자인전공인데 건축회사로 취업하신 분 혹은 그런 걸 보신 분 있을까요??,"교수님과 진로 상담하는데, 본교 선배 중에 건축 회사로 취직한 분이 꽤 된다 그러셨는데,, 그냥 띄워주시는 말씀인지 진짜인지 분간이 안돼서요 ㅠㅠ 저도 웬만하면 인테리어 회사보다 근무환경도 좋구 대우도 좋은 건축사로 취업하고 싶은데 전공이 그래도 디자인 전공인지라 건축사에 취업이 가능할지 모르겠어요,, 학교에서 배우는 것도 내부 인테리어보다 매스디자인 건물형태 등을 위주로 해서 건축에 가까운 내용이라 배운게 아까워서라도 건축사에 취업하고싶습니다ㅠㅠ 조언 부탁드려요,,ㅠㅠ",답변 없음,,,,
2022.08.08 작성,34,사람인-커리어,재무회계관련 아무것도 몰라요 ㅜ,"대학교도 공학으로 하다가, 재무회계에 관심이 생겨서 전산회계 1,2급을 따로, 엑셀 자격증도 땄습니다. 아무래도 전공이 아니고, 자격증 수도 적으니 불리할 것 같은데, 세무회계 사무실에서 회계보조, 사무부조로 일하면서 경력 쌓다가 이직을 해도 좋은 경력으로 쳐주나요,,,? 그리고 세무회계사무소에 정규직으로 들어갔을 때 초봉이나 급여는 어떻게 될까요 ?? 주변에 이런거 아는 사람이 없어서 모르겠네요 ㅜㅜ",지역이 어디신지는 모르겠지만 그정도 자격증이면 세무사무실 회계법인등에 기장직원으로 입사하기엔 충분할것 같습니다만.. 업무가 쉽지않고 지방의 경우 기본시급 시작합니다. 저희법인 3년차직원 200 ㅠㅠ,,,,
2022.08.08 작성,216,사람인-커리어,엔씨케이 생산직 질문 드립니다.,"평택에 있는 반도체 회사 엔씨케이 생산직 관련하여 질문 드립니다. 저는 방송통신대학 70학점 현재 휴학중이고, 나이는 31살 남자이고! 화장품 브랜드사에서 8년정도 일하면서 브랜드 런칭부터 시작해서 상품기획, 광고기획, 전시회기획, 올리브영입점 PT, 이커머스 총괄까지 굵직굵직한 업무와 팀장으로써 사무관리직으로 오랜 업무를 해왔는데, 회사가 상장하는 과정에서 세무조사를 크게 맞아 파산을 하게 되었고 이를 계기로 업종변경을 하고 싶었던 반도체 제조회사 생산직으로 알아보았고, 정말 가고 싶은 회사라고 생각하여 지원하게 되었는데요 엔씨케이 생산직 관련 무전공이나 현장경험 없으면 뽑히기 어려울까요? ㅠㅠ",답변 없음,,,,
2022.08.07 작성,176,사람인-커리어,전기노가다 경력,현재 자격증없이 전기노가다 하는중인데 다른일반공장에 이력서 넣을때 경력인정되나요?? 안된다면 자격증 딴다면 따기전에 일한경력도 인정되는지 궁금합니다.,답변 없음,,,,
2022.08.06 작성,230,사람인-커리어,전기시공 준비 중인데 캐드 자격증 필요할까요,"현재 전기시공 직무에 지원하고 있는 취준생입니다. 제가 캐드를 사용할 줄 아는 사람이라는 것을 증명할 수 있는 부분이 필요하다는 생각이 들어 자격증을 알아보는 중입니다. 회사 채용 내용 보면 오토캐드 사용 가능자 또는 우수자 이런 내용이 우대사항에 있는 곳이 있더라구요. 그래서 현재 국비지원 받아서 오토캐드를 배우고 있는데 그래도 실력을 입증할만한 자격증이 있으면 어필하는데 도움이 되지 않을까 해서 고민 중에 있습니다. 제가 현재까지 알아본 자격증 종류는 전산응용건축제도기능사 아니면 ACU 자격증을 취득해볼까 하는데 다른 분들은 어떻게 생각하시는지 궁금합니다. 현재 제 스팩은 전기기사, 산업안전기사 토익 840, 컴활 1급 이렇게 가지고 있고 공사기사는 실기만 남은 상태입니다. 이력서를 많이 넣고 있는데 면접에 잘 안불러줘서 고민이네요 ㅠ",답변 없음,,,,
2022.08.06 작성,170,사람인-커리어,안전제품 점검 및 수리 가스측정기 교정 무얼하는곳일까요??,안전제품 점검 및 수리 및 가스측정기 교정(KOLAS) 이라고 합격되었는데요 관리자 인가요?? 공단에서 일을 한다고 합니다. 연봉은 3000으로했구요... 어떻게 일을하는지 궁금합니다. 비전도 궁금하구요.. 좋은 답변 부탁드려요 ㅠㅠ,답변 없음,,,,
2022.08.06 작성,127,사람인-커리어,"이직, 의욕",.,제가 청사에서 잠깐 일 했을 때 경험인데요 공무원들이 다 의욕이 없어보였어요 일하고 구내식당에서 밥먹고 초근 찍고 주위 분위기의 영향도 큽니다 그 중에서도 계속 공부하고 성장하시는 분들은 밝으시더라구요 삶이 지루하신것 같아요,,,,
