연번,제목,날짜,글 내용,댓글 내용
89,5600g 견적 문의,2024.06.25 22:03,당분간 쓸 컾퓨터 살 생각입니다 예산은 30~45 사이입니다 게임도 그래픽카드 나중에 사서 할 예정입니다 고사양도 최하옵으로 할 생각입니다 어떻게 견적 짜야 할까요? cpu 5600g 로 짜주시면 감사하겠습니다,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 해당 구성이 최선일 것 같습니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || To. user_741771 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. CPU는 동일하게 내장그래픽이 있으면서 거의 비슷하나 소폭 더 높은 성능을 가지고있는 라이젠 5500GT로 추천드립니다! 가격대가 조금 더 저렴하기에 가성비가 더 좋겠습니다 메모리 부분은 SK 하이닉스 해외 자회사인 ESSENCORE 사 제품으로 구성하면 호환에 문제없습니다 DDR4 규격이 12년도부터 상용화되었으며, 3200클럭 메모리가 19년도부터 널리 사용되었던지라 출시한지 이미 오랜 시간을 거쳐 안정화가 진행되었습니다 지나치게 저렴한 라인업이나 특정 제품이 아니라면 SK 하이닉스 해외 자회사인 ESSENCORE 사 제품은 문제없으니 그대로 구성해도 괜찮습니다 From. 퀘이사존 공식 후원사 팜피씨샵"
90,형님들 컴린이가 만든 견적 좀 평가 부탁드립니다,2024.06.25 21:46,+ 모니터 lg 27gp750 어떤가요 똥쓰레기인가요?? 지금은 FHD 나중에는 QHD 모니터 달 여유까지 생각해서 비용도 생각해서 4060TI SSD는 추천 SSD가 있었는데 이게 더 좋아보여서 달았는데 이거 좋나요...? 비록 게임은 롤이나 콜옵등 소소한 게임 밖에 안하지만 어렸을떄부터 멀끔한 컴퓨터 갖는게 꿈이어서 취업도 했고 맞춰보려구요 당연히 조립은 못해서 조립신청까지 아쉬운 부분 혹 있으신가요??,"안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 QHD 모니터 환경이시면 RTX 4060 Ti 옵션 타협이 필요 하세요 AMD 라이젠 """" 7500F + RTX 4070 """" 구성으로 권장 드려용 ~ !! 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 해당 구성으로 추천드립니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다."
91,게임성능이 궁금해요,2024.06.25 21:29,"CPU RYZEN 5600 RAM 16GB (8GB×2) 그래픽카드 RTX4060 배틀필드 1,4,5에 배그 콜옵 모던워페어 리부트 합니다",성능의 기준(게임 or 작업 프로그램)을 적어두시면 좋을거 같네요. || 게임입니다 축하합니다! 행운 포인트 2점을 획득하였습니다.
92,컴퓨터 견적 조언 부탁드립니다.,2024.06.25 21:25,여기에 rtx 3080ti 사용 예정인데 문제 없을까요?사용용도는 스팀게임&영상시청입니다.,"호환에는 문제 없는 구성 이예용 !! || 안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 1 573,390원 573,390원"
93,"클튜,포토샵,스팀겜 100만원 견적 부탁드립니다",2024.06.25 20:43,클립스튜디오 주 가끔 포토샵 돌리고 스팀겜은 리썰컴퍼니 정도 돌리려고 합니다. 딱 100정도면 좋을 것 같습니다! 추천 부탁드려요 ㅠㅠ,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 5600 + 4060 ti 구성으로 추천드립니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 클립스튜디오는 6코어 CPU와 메모리 32기가 그래픽카드 지포스 구성이 환경이면 원활하게 작업 하실 수 있어요 AMD 라이젠 """" 5600 + RTX 4060 + RAM 32GB """" 구성으로 권장 드려용 ~ !!! 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다!"
94,컴퓨터 업그레이드 질문 조언 부탁드립니다.,2024.06.25 20:22,현재 컴퓨터를 4년정도 사용하였고 메인보드 B450에 라이젠5 3600에 cnps9x쿨러를 쓰고 있습니다. 5700x3d로 업그레이드 할 예정입니다. 저 쿨러 그대로 사용해도 좋을까요? 만약 바꿔야 한다면 녹투아 쿨러인 NH-12A를 사용 할 예정인데 장착하면 케이스와 램에 걸리지 않는지 걱정됩니다. 컴퓨터 저장공간도 ssd1~2테라로 업그레이드 하고 싶습니다. 조언이나 부품 추천 부탁드립니다. 컴퓨터 고수분들 도와주세요. 컴맹이라 무섭네요...,"5700x3d에 cnps9x 사용 가능합니다. 보드는 B450 AORUS ELITE 인 것으로 보이는데, M.2 SSD 2개 장착이 가능합니다. B450은 PCIE 3.0 까지 지원하며, M.2 SSD 하나 추가로 구입해서 장착하시면 될 것 같습니다. 다만, SSD 방열판은 1개만 있으므로 방열판이 포함된 SSD를 구입하시거나 별도로 SSD 방열판을 구매해주시면 좋을 것 같습니다. || @comdol 5700x3d 발열을 cnps9x로 충분히 잡는지 궁금합니다. 녹투아 NH-12A 장착은 어떤가요?"
95,amd 7600 쓰는 본체 견적 부탁드립니다.,2024.06.25 20:03,글카는 2070 super 있는거 그대로 사용할 예정입니다. 글카 제외 전부 새로 맞추려고 합니다. (케이스 파워 포함) 참고할 사항으로는 cpu 7600 ssd 1tb ram 16*2 정도 윈도우도 딱히 필요 없습니다. cpu 쿨러도 적당한거 있으면 좋겠습니다. 잔고장 없는 보드면 좋겠네요 가성비 있게 부탁드립니다.,"To. 모니터고장 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 다음과 같이 구성하였습니다! DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 From. 퀘이사존 공식 후원사 팜피씨샵 || 해당 구성으로 추천드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠5-5세대 7600 (라파엘) (멀티팩(정품)) 1 230,000원 257,860원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,000원 181,040원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 115,000원 122,540원 4 그래픽카드 MANLi 지포스 RTX 4070 SUPER Rush D6X 12GB 대원씨티에스 1 892,280원 878,410원"
96,7800X3D 게이밍 조언 부탁드립니다,2024.06.25 20:03,"NO 오버 NO RGB NO 소음 용도는 게이밍 용 입니다 약간 과한 감이 있지만 요정도 선 (?) 으로 맞추려고 합니다 CPU 다들 추천해 주시는 제품 CPU 쿨러 다들 추천해 주시는 제품 (공랭) (수랭 펌프 거부감있음) 메인보드 다들 추천해 주시는 제품 SSD ( 요즘 게임 하나에 100G 넘는 게임들 많아서 ) 케이스 솔직히 잘 모르겠음 ㅠ (저소음 지향, RGB 거부) 장기적으로 봤 을떄 인데 순환이 잘될지 파워 잘 모르겠음 메모리 64G 용량은 정했는데 잘 모르겠음 제품이 저것 밖에 안보임 그래픽 4070TI S 는 정했으나 어떤걸 해야할지 호환성 문제나 이상한 부분이 있거나 추천해주시는 제품이 있다면 댓글 감사합니다..!! 이곳저곳 혼자 떠돌면서 알아가며 견적을 추천 받기도 하고 견적을 짜보았습니다. AMD 라이젠7-5세대 7800X3D (라파엘) (정품) 684,000 원 쿨러/튜닝 3RSYS Socoool RC1900N 솔더링 (BLACK) 75,400 원 메인보드 MSI MAG B650 토마호크 WIFI 316,800 원 SSD SK하이닉스 Platinum P41 M.2 NVMe (2TB) 289,000 원 케이스 3RSYS L904 Quiet (블랙) 181,600원 파워 맥스엘리트 MAXWELL COUNT 850W 80PLUS GOLD 풀모듈러 ATX 3.1 (PCIE5) 161,700 원 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (64GB(32Gx2)) 279,400원 그래픽카드 MSI 지포스 RTX 4070 Ti SUPER 게이밍 X 슬림 D6X 16GB 트라이프로져3 1,293,600원 조립비 및 TEST 조립 및 초기불량 테스트 ( 3년 택배 A/S 지원 ) 50,000원 호환성 문제나 이상한 부분이 있거나 추천해주시는 제품이 있다면 댓글 감사합니다..!! 그래픽카드 메모리 케이스 추천 부탁드립니다","안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 AMD 라이젠 """" 7800X3D + RTX 4070 SUPER """" 구성으로 권장 드려용 !! 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! 이미지 카테고리 상품명 수량 가격 합계 || To. 나런프 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 구매 고려중이신 CPU쿨러는 CPU에 비해 조금 더 높게 잡혀있다 보여집니다, 추가하신 제품보다 체급을 조금 더 낮춰 구성하여도 충분히 안정적으로 사용이 가능하다보니 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요 저소음에 특출난 모습을 보여주는 제품인 darkFlash Ellsworth D21 (BLACK) 제품 정도로도 충분하겠구요 DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라"
97,150~170만원 컴퓨터 견적 요청합니다...,2024.06.25 19:59,"안녕하십니까 형님들... 150만원에서 최대 170만원까지 컴퓨터 견적 요청 좀 부탁드리겠습니다 ㅠㅠ 제가 조카가 있는데 조카가 컴퓨터를 이번에 맞춘다고 저에게 도움을 청했는데 사실 저도 이쪽으로는 정말 문외한이라 맞추는 김에 모니터랑 스피커 마우스와 같은 주변기기도 저 예산내에 넣어서 하고싶은데 전문가분들의 도움이 필요할 거 같습니다 ㅠㅠ 주로 하는 게임은 발로란트, 피파, 마인크래프트, 로블록스같은 게임용도로 맞추려고 한다고 합니다. 도움 주시면 정말 감사할 것 같습니다!!","안녕하세요, 신뢰을 조립하는 컴퓨티파이입니다! 고민 중이신 견적 확인하였습니다. 예산 내에서 7500F + 4070 SUPER 구성으로 견적 남겨드립니다! 발로란트, 피파, 마인크래프트, 로블록스 쾌적하게 즐기실 수 있구요~ 추가적으로 궁금하신 점이 있으시다면 카카오톡으로 상담 신청해주세요~ 이미지 카테고리 상품명 수량 가격 합계 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 7500f + 4070 super 구성으로 추천드립니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다."
98,"조립 pc 구매했는데 그래픽 박스,메인보드 박스 딴거 왔어요 ..",2024.06.25 19:43,그래픽카드 박스는 안왔고 심지어 메인보드 박스는 다른제품 그냥 마우스장패드 넣어서 보냈네요 이런 경우가 있나요 ? 설치 영상 보니 박스는 하나도 없고 다 벌크같이 생겼던데 ㄹ리퍼제품일수도 있지 않나요?하... 글카 이도디스플레이라고 듣보라서 안줬나봅니다 ;; 메인보드는 기가바이트에요,신제품 구매시 상자를 안주면 환불 하시는게 좋을거 같네요. || 보통 박스는 구매페이지에서 박스같아보내달라고 요청 적으셔야할겁니다. 기본으로 박스 같이 보내주는곳도 있고 아닌곳도 있고 캐바케라서요. 다른박스 보낸건 실수일수도 있고 해당 업체가 기본으로 박스 전부 보내주는곳이 아니라면 그냥 아무 박스에 장패드 껴서 보낸걸수도 있겟네요.. 일단 해당 업체에 연락을 해보시는게 좋을듯 합니다.
99,쿨러 AS때문에 구매내역을 찾아야하는데요..,2024.06.25 19:36,구매내역을 못찾고 있습니다 ㅠ PC는 2021년 구매했고 당시에 퀘사이존에 부품 견적 올리면서 구매했던것같은데 구매처가 기억이 안나네요 다나와에 PC견적 함도 폴더는 당시 날짜로 만들어져 있는데 폴더에 부품이 비어있네요 구매내역 어떻게 찾아야할까요?,이메일에 견적서 있지않나요? 전 예전에 구매했던거 메일로 견적서와서 보관중이거든요. || @디지털월드 그리고 구매내역을 정 못찾겟다 싶으면 쿨러 제조사에 as 문의 헤보세요. 구매내역 없어도 해줄겁니다. 그쪽에도 내역같은 자료가 있을거예요.
100,중고와 새거 견적 한번 봐주세요 2개중에 고민중입니다..,2024.06.25 19:24,제가 구매하려는 나름의 초보자화이트를 맟춘 제품입니다 저기서 글카 4070 화이트 or 4070s 화이트 생각하구요 글카 까지 해서 금액 대략 155-160 2. 중고제품 반년가까이된거 157 이렇게 판다는데 제가 살거랑 옵션이 거의 비슷해서 고민입니다 튜닝?이라고하나여 저런 본체를 써본적이없어서 너무이뻐가지고 끌리기도 하는데 뭐가 괜찮을까요 ㅠㅠ,"To. user_918905 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 || To. user_918905 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다"
101,3080ti 견적 부탁드립니다.,2024.06.25 19:11,현재 3080ti 그래픽카드만 가지고 있고 아무것도 없는 상태입니다. 130만원 이내로 컴퓨터 견적 짜주시면 감사하겠습니다. 용도는 스팀 게임용입니다.,"7800x 3d 면 게이밍 종결 cpu라서 7800x 3d 기반으로 구성하시면 좋을 거 같습니다. 미니샵 견적달인 coke_bear 님의 견적입니다. LV. 13020 118 구매 2 0 리뷰 8055 73 견적 422 3 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 1 520,000원 547,660원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,000원 182,210원 3 메모리 마이크론 Crucial DDR5-5600 CL46 (16GB) 2 109,820원 113,640원 4 SSD 마이크론 Crucial T500 M.2 NVMe 대원씨티에스 (1TB) 1 123,020원 124,680원 || 7800X3D로 이루어진 견적 추천드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 1 520,000원 548,700원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,000원 180,100원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 115,000원 123,200원 4 SSD Western Digital WD BLACK SN850X M.2 NVMe (1TB) 1 129,970원 140,900원"
102,견적좀 부탁드리겠습니다.,2024.06.25 18:57,현재 가지고 있는 부품 DDR4 삼성 시금치램 8GB X 2 AMD 2700x GTX 1060 위 부품은 지인이 물려줘서 그대로 들고가려합니다. 주로 하는게임은 로아와 롤을 주로하는데 위 부품으로 문제없이 견적좀 짜주실 수 있나요? 모니터는 FHD 75Hz 사용합니다.,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 나머지 구성은 이렇게 구성을 해주셔도 좋을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 언급하신 사용 용도 외 다른 용도는 없으신걸까요? 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb
103,"견적좀 봐주세요! 783,4070티슈",2024.06.25 18:40,우선 반본체 받아놓은건 110정도 하구요 용칸 4070티슈 110 해서 220정도인데 어떻게 보시나요??… 드래곤볼은 너무 귀찮고 ㅠ 빨리쓰고싶은 맘이강하다보니 ㅠ 그리고 게임은 카스2만 합니다. 가끔아이온..? 모니터는 fhd 25인치 360hz 입니다 그래서 프레임을 360이상 뽑아내고싶어서요 빡겜유저다보니 옵션도 저사양에 1280*960 입니다 너무 과 투자인가요??… 컴맹이다보니 답변 부탁드립니다!,"메모리까지 화이트 튜닝 메모리로 성능과 감성 둘 다 챙기시면 좋을 것 같습니다. pm9a1은 보증 기간도 짧고 pcie4.0 상위 제품이 비해 성능도 떨어지는 편이라 t500 이나 sn850x로 변경하시는 걸 추천드립니다. 파워는 750w 급부터는 골드 등급 구성이 안정적이고 고주파 발생까지 새제품 교환 정책으로 as 정책이 가장 좋은 뉴젠 스컬 제품 추천드립니다. 미니샵 견적달인 coke_bear 님의 견적입니다. LV. 13020 118 구매 2 0 리뷰 8055 73 견적 422 3 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 1 520,000원 547,660원 || To. 선녀가나무꿈 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 고려중이신 예산과 사용 용도를 기반으로 견적을 구성 할 경우 호환에 문제없는 견적으로 그대로 구매하셔도 무방합니다~! DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 GEIL (SK하이닉스 선별 제품) 사 메모리 그대로 구성하시는 편을 추천드립니다 From. 퀘이사존 공식 후원사 팜피씨샵 저희 측으로 그래픽카드를 보내주시면 장착 및 테스트까지 완료해서 출고 도와드리고 있으니 구매에 참고 부탁드립니다~!"
104,7500F에 4060ti vs 4070super 견적 보고 추천좀 해주세요,2024.06.25 18:31,일단 게이밍용으로 쓸거구요 주로 로스트아크 아주 가끔 오버워치 피파 합니다. 모니터는 21:9 로 사용할 예정인데 qhd는 좀 부담스러울 것 같고 웬만하면 fhd로 쓸것같아요. 현재 특가 구성이 이렇게 되어있고 4060ti는 117만 4070 super는 140만 입니다.,두가지구성 모두 특별한 문제 없으실 것 같은데요! 21:9 FHD (WFHD) 해상도를 고려중이시라면 그래픽카드를 4070SUPER 정도로 구성해주시면 좋을 것 같네요~ 2번 구성이 더 좋으실 것 같아요! || fhd 해상도 기준이면 4060 ti 로 구성하셔도 충분합니다.
105,150만원대 견적 괜찮은지 부탁드립니다.,2024.06.25 18:30,"조립컴에 대해 잘 몰라서 이리저리 찾아서 조합해봤습니다. 용도는 집에서 유튜브, OTT감상, 캐드, 포토샵, 게임 적당히 할 정도입니다. 그래도 한번 맞추면 오래 쓸 것 같아서 괜찮은 사양으로 맞추려고 합니다.. 이정도면 괜찮을까요?","To. 워워워터 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다, 해당 예산 기반이라면 모니터 포함해서 고려하시니 그에 맞게 잡을 시 라이젠 7500F + RTX 4070 조합으로 구매하시는 편을 적극 권장드립니다! DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 || b650m-k는 a620m gaming x 랑 동일 스펙 제품이라 Dr.Mos 전원부인 b650m pg lightning 으로 변경하는 게 더 좋습니다. ddr5 삼성 메모리는 불량률이 높아 변경하시는 게 좋고 현재 마이크론 제품이 가격이 저렴해서 마이크론으로 변경하였습니다. ssd는 1tb 2개 구성보다는 2tb 1개 구성이 성능이나 수명이 더 좋습니다. 그래픽카드는 rx 6800 이랑 가격대가 비슷해서 rx 6800 으로 변경하시는 게 성능이 더 좋습니다. 미니샵 견적달인 coke_bear 님의 견적입니다. LV. 13020 118 구매 2 0 리뷰 8055 73 견적 422 3 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)) 1 188,400원 203,700원"
106,PC 견적 확인 부탁드립니다.,2024.06.25 18:24,"안녕하세요. 고수 분들 PC 견적 확인 한번만 부탁 드립니다. 용도는 피파, 배그용 컴퓨터 입니다. 고른 부품 호환이 잘 되는지도 궁금하고 금액은 더 저렴하면 할수록 좋기 때문에 고른 부품 중에 가성비가 더 좋은 제품 있다면 추천도 부탁 드립니다. 잘 부탁 드리겠습니다.","To. 오죠 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 예산을 다시 분배해서 라이젠 7500F + RTX 4070 조합으로 구매하시는 편을 추천드립니다 구매 고려중이신 CPU쿨러는 CPU에 비해 너 높게 잡혀있다 보여집니다, 추가하신 제품보다 체급을 조금 더 낮춰 구성하여도 충분히 안정적으로 사용이 가능하다보니 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 단적인 게임용이라면 7500F 와 7600제품은 성능차이가 정말 미미한 정도로 나기 때문에 7500F 제품으로 구성을 추천드립니다^^ DDR5 한정 삼성메모리 제품이 불량률이 높아서 추천드리지않으며 SK하이닉스 기반의 팀그룹 일반메모리 제품을 추천드립니다 ^^"
107,모니터 교체에 따른 업글 조언 좀 부탁드립니다.,2024.06.25 18:22,"현재 본체 사양입니다. [AMD] 라이젠5 버미어 5600X [ASUS] TUF Gaming B550-PLUS (Wi-Fi) STCOM [3RSYS] Socoool RC410 ARGB [ZOTAC] GAMING 지포스 RTX 3060 Ti TWIN Edge OC D6 8GB LHR [마이크로닉스] Classic II 750W 80PLUS GOLD 230V EU 풀모듈러 [SK하이닉스] Gold P31 M.2 NVMe SSD 2280 500GB TLC [삼성전자] DDR4 16GB PC4-25600 (X2, 32GB) FHD 144HZ 쓰다가 FHD 360HZ로 교체할 생각인데 본체도 업글 필요할까요? 필요하다면 뭘 업글하는 게 나을까요? 따로 오버 같은 건 하지 않았습니다! 하는 게임은 롤, 피파4고 대부분을 피파4만 합니다.",롤이 360HZ가 정식지원이 아니라서 아직 불안정합니다 360HZ가아닌 240HZ로 변경하시는게 좋을 듯 합니다 ^^ || 롤의 경우에 프레임이 너무 높다면 캐릭터가 텔레포트를 하는 등 버그가 있습니다 ㅠㅠ 프레임 제한을 240정도로 두고 해주시는 것이 좋아 사양을 더 높게 업그레이드를 해주셔도 의미가 없을 것 같습니다 ㅠㅠ
108,사무용 PC로 쓸만 할까요,2024.06.25 18:19,무거운 프로그램은 없이 서류 작업 위주로 쓰려고 하는데 괜찮을까요,"안녕하세요, 신뢰을 조립하는 컴퓨티파이입니다! 고민 중이신 견적 확인하였습니다. 5600은 외장 그래픽 필요한 구성이기 때문에 5600G 내장 그래픽구성으로 견적 남겨드리겠습니다! 추가적으로 궁금하신 점이 있으시다면 카카오톡으로 상담 신청해주세요~ 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠5-4세대 5600G (세잔) (멀티팩) 1 166,600원 166,600원 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 사무용 구성이라면 5600은 내장그래픽이 없는 제품이라 내장그래픽이 있는 5600G 제품으로 구성을 해주셔야 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다."
