연번,제목,날짜,글 내용,댓글 내용
223,이대로 사려는데..궁금한것에대하여..,2024.07.01 17:40,"견적을 짜주신대로 구매하려하였는데 제가 하는게 캐드 일러 라이노 랜더링(엔스케이프,브이레이,루미온등) 작업류이고 게임도 하긴하는데 작업에 비해 비중은 조금 작습니다 작업이 더 많을 예정이고 그래서 궁금한게 x3d로 가는게 나을지 7950x(얘는 게임이 많이 힘든가요?)가 나을지 궁금하고여 쿨러는 이 작업으로 갔을때 수냉쿨러로 가는게 유리할까요? 공랭은 힘들까요 완전 컴린이라 이것저것 보다보니 머리가 어질어질해졌습니다..","7950x vs 7950x3d의 경우 게임성능이 10% 정도 7950x3d가 우위 작업성능이 7950x이 4% 우위입니다. 작업이 우선이라 하신다면 7950x 구성이 더 좋고 7950x3d 기준이라면 발열이나 전력 소비량이 더 낮은 부분이긴 해서 지금 구성하신 메인보드 정도라면 충분 하고 CPU쿨러는 오히려 더 저렴한걸로도 차고 넘칩니다 ^^ || 7950X의 작업 성능이 소폭 우위에 있습니다. 게임의 비중이 높으시다면 3D 제품을 추천드리겠으나 작업의 비중이 높으시다면 7950X로 사용하셔도 충분할 것 같습니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2350 21 구매 0 0 리뷰 1747 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠9-5세대 7950X (라파엘) (멀티팩(정품)) 1 726,080원 758,440원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,000원 182,210원 3 메모리 마이크론 Crucial DDR5-5600 CL46 (32GB) 2 218,400원 226,180원"
224,견적 문의드립니다,2024.07.01 17:40,150만원정도로 프로그램은 오토캐드랑 레빗 쓰고 게임은 로아 배그 롤 할겁니다!,"본체만 이실까요? 본체만 150 정도로 구성하시고 오토캐드 및 레빗이라면 멀티 성능 보다는 CPU의 싱글 성능을 좀 더 중요시 보시는게 좋을 듯 합니다. 다만 게임도 배그나 로아정도는 하시니 그래픽카드는 RTX 4060 Ti 이나 RX 6800 정도로 구성을 해주셔야 FHD 해상도 기준으로 로아는 풀옵션 + 고주사율 유지 배그는 국민옵션 + 고주사율 유지 정도는 가능 할 듯 하네요 7500F 같은 CPU에 메모리 용량을 넉넉하게 구성하고 조합을 하시거나 아니면 다중 작업도 할 수 있으니 라이젠 7700 CPU로 구성하시는 것도 방법이긴 합니다. 메인보드는 두 CPU간 전력 소비량자체가 크진 않기에 || 7700 + 4060 조합으로 구성해주셔도 좋을 것 같습니다! -------------------- 아래 카카오톡 채널으로 문의를 남겨주시면 더 자세하게 견적상담을 드리도록 하겠습니다! 카카오채널: https://pf.kakao.com/_ErDGxj / 웹사이트 : 08dragon.com 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠7-5세대 7700 (라파엘) (멀티팩(정품)) 1 377,250원 377,250원 메모리 TeamGroup DDR5-5600 CL46 Elite 패키지 (32GB(16Gx2)) 1 129,000원 129,000원"
225,견적 문의드립니다,2024.07.01 17:40,150만원정도로 프로그램은 오토캐드랑 레빗 쓰고 게임은 로아 배그 롤 할겁니다!,본체만 이실까요? 본체만 150 정도로 구성하시고 오토캐드 및 레빗이라면 멀티 성능 보다는 CPU의 싱글 성능을 좀 더 중요시 보시는게 좋을 듯 합니다. 다만 게임도 배그나 로아정도는 하시니 그래픽카드는 RTX 4060 Ti 이나 RX 6800 정도로 구성을 해주셔야 FHD 해상도 기준으로 로아는 풀옵션 + 고주사율 유지 배그는 국민옵션 + 고주사율 유지 정도는 가능 할 듯 하네요 7500F 같은 CPU에 메모리 용량을 넉넉하게 구성하고 조합을 하시거나 아니면 다중 작업도 할 수 있으니 라이젠 7700 CPU로 구성하시는 것도 방법이긴 합니다. 메인보드는 두 CPU간 전력 소비량자체가 크진 않기에 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 150만원대 본체만 구성을 하시는거라면 게임도 하시고 3D모델링 작업도 조금 하시는거라면 인텔 14500 + RTX 4060 TI 급으로 구성을 해주셔도 좋을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고
226,견적 호환 질문드립니다!,2024.07.01 17:38,견적 호환에 문제 없는지 질문 드립니다!,"4060 Ti보다 더 나은 성능을 제공하며 AFMF, SAM(라라랜드) 추가적으로 영상 감상에 도움이 되는 플루이드 모션(프레임 더블러) 가 가능하고 가격도 저렴한 7500F와 RX 6800 16GB로 구성을 추천드립니다. VRAM도 많아 여러모로 이득이 되는 구성입니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2350 21 구매 0 0 리뷰 1747 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)) 1 186,000원 202,100원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,000원 180,100원 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * AMD 라이젠 7500F + RTX 4060 TI 급으로 구성을 하신다면 CPU 쿨러는 싱글타워 제품으로 사용을 해주셔도 문제없기 때문에 조금 내려서 구성을 해주셔도 좋습니다 ^^ 나머지 호환성이나 구성은 무방합니다~ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고"
227,컴린이 첫 조립식 견적 질문!,2024.07.01 17:38,처음으로 직접 알아보고 맞춰본 조립식 데스크탑입니다 주로 하는 게임은 로아랑 배그를 하고있습니다 견적은 125만원 가량 나오는데 이대로 사용하는데 문제는 없는지 궁금합니다!,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 게임만 하시는거라면 AMD 라이젠 5600 + RTX 4060 제품으로 구성을 해주시면 가격대가 조금 더 저렴하고 가성비 있게 구성이 가능합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 게임만 하시나여? 다른 용도는 없으시구여? 윈도우 포함이라 게임용임에도 글카가 좀 낮게 셋팅 되어져 있는 듯 한데 이거면 그냥 다른거 낮추고 글카 올리시는게 월등히 좋을 겁니다.
228,조언 부탁드립니다...,2024.07.01 17:24,4년전 쯤 맞춘 컴퓨터입니다 대충 견적은 이렇게 되는데 업그레이드를 고려하고 있습니다 우선 cpu를 5600 으로 업글하려고 하는데 좋은 선택지인가요? 그리고 기존에 쓰던 모니터님께서 사망하셔서 새로운 모니터 추천 부탁드립니다.. 주로 햄탈워3를 즐기고 있습니다,"지금 당장 구성에서 CPU만 업글 하시는 거라면 바이오스 업뎃 먼저 해주시고 CPU 업글 하셔도 무방합니다. 게다가 3600 -> 5600이라면 CCD가 2개로 나눠어진 CPU에서 한개로 통합된 CPU로 넘어가는지라 생각보다 체감 차이가 크기도 하구요 RTX 2060 SUPER라고 하신다면 모니터는 FHD해상도 기준 27인치 144 , 165hz 제품으로 보시면 될 겁니다. || CPU는 바이오스를 업데이트 해주시고 변경 해주세요! 호환은 문제없을 것 같습니다~ CPU는 가능하다면 추후에 5700X3D 특가를 노려보셔도 좋을 것 같습니다."
229,이런경우 파워 다시사야하나요?,2024.07.01 17:23,"현재 파워가가디언 d인가g인가 900w짜리이빈다. 현재 조텍코리아에서는 12핀 젠더관련 재고가 없다고합니다. 그리고 저의 파워가 모듈러가 아니라 파워에서 선여러개한번에 나오는건데요. 저는 4080을 꼭 써야하는데요... 현재 컴퓨터 파워에서 나오는 그래픽카드 선이 총 3줄 나오고 8핀씩 달려있어요 이런경우 온라인에서 파는 제품이따로 있나요? 아니면 12핀 구매+파워 함께 살수있는 모듈러 파워를 사야할까요? 요약 1.4080중고삿음 2.젠더 없음 3,사용하려하니 젠더없어서 사용불가 4. 전에물어보니 누가 조텍코리아물어보라함 5. 조텍코리아 : 재고없음 ㅅㄱ 6. 내파워에 가능한 12핀 별도구매가능하나요? 7. 아니면 모듈러 3.1이상 파워사면서 12핀 구매해야하나요?",PCI-E 6+2핀 3개를 12VHPWR 1개로 변환하는 케이블을 구입해주셔도 될 것 같습니다. || 그냥 사제로 파는 나름 메이커 제품 기준 변환 케이블 하나 구매하시는 걸 추천드립니다.
230,모니터 FHD -> QHD 체감 크나요?,2024.07.01 17:20,FHD 에서 QHD 게임이나 영상시청할 때 체감 차이 많이 날까요? 지금 FHD 쓰고 있는데 차이 많이 난다면 새로 하나 사볼까 해서 질문 드립니다.,이게 생각보다 작긴 합니다. 다만 일반적인 사무용도에서 체감 하실 꺼라면 한 화면에 인터넷창 2개 반띵으로 써도 생각보다 다 보인다는거? 이거 하나 정도는 바로 체감이 가능한 부분이긴 할 겁니다. 그 이외에는 역체감은 심하긴 한데 업글 체감은 상대적으로 낮은 편이긴 합니다. || 이게 생각보다 작긴 합니다. 다만 일반적인 사무용도에서 체감 하실 꺼라면 한 화면에 인터넷창 2개 반띵으로 써도 생각보다 다 보인다는거? 이거 하나 정도는 바로 체감이 가능한 부분이긴 할 겁니다. 그 이외에는 역체감은 심하긴 한데 업글 체감은 상대적으로 낮은 편이긴 합니다.
231,글카 변경 질문드립니다!,2024.07.01 16:48,지금견적에 3080ti 사용중인데 4080으로 변경하고 싶은데 부품 또 변경해야 될게있을까요? 있다면 부품도 추천부탁드립니당!,문제없을 것 같습니다. || 어떤 목적으로 업글 하시려는지 알 순 없지만 지금 구성이라면 쿨러는 생각보다 낮은 구성이셨네요... 파워 용량은 문젠 없을 듯 한데 전용 케이블 하나 구매하시면 좋을 듯 합니다.
232,발로란트 360hz 방어 견적 좀 짜주실분 계신가요??,2024.07.01 16:42,기존 컴퓨터가 그래픽 1060 6g에 i5 -8400인가 8500인가 그럴텐데 컴퓨터 망가진 김에 새로 사보려고 합니다 dell사 360hz 모니터 50만원 선이길래 한번 이용해보려고 하는데 360hz 방어 어느정도 스펙이어야 괜찮을지 여쭤보고싶습니다.,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * AMD 라이젠 7800X3D + RTX 4060 TI 급으로 구성을 추천드립니다 ^^ 현재 360HZ 칼방어는 불가능합니다 최대한 방어 구성이라면 CPU제품을 7800X3D 제품으로 구성하시고 그래픽카드는 4060 TI 이상으로 올리실 필요는 없을거같습니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 || 7800X3D와 4070 Ti Super로 이루어진 견적 추천드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2350 21 구매 0 0 리뷰 1747 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (정품) 1 534,000원 559,940원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 172,200원 182,210원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 117,900원 123,860원 4 그래픽카드 ZOTAC 지포스 RTX 4070 Ti SUPER Trinity D6X 16GB Black 1 1,223,300원 1,219,020원"
233,발로란트 360hz 방어 견적 좀 짜주실분 계신가요??,2024.07.01 16:42,기존 컴퓨터가 그래픽 1060 6g에 i5 -8400인가 8500인가 그럴텐데 컴퓨터 망가진 김에 새로 사보려고 합니다 dell사 360hz 모니터 50만원 선이길래 한번 이용해보려고 하는데 360hz 방어 어느정도 스펙이어야 괜찮을지 여쭤보고싶습니다.,"모니터의 해상도가 어떻게 될까요? || 7800X3D와 4070 Ti Super로 이루어진 견적 추천드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2350 21 구매 0 0 리뷰 1747 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (정품) 1 534,000원 559,940원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 172,200원 182,210원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 117,900원 123,860원 4 그래픽카드 ZOTAC 지포스 RTX 4070 Ti SUPER Trinity D6X 16GB Black 1 1,223,300원 1,219,020원"
234,케이스를 바꾸고 싶습니다,2024.07.01 16:31,직업특성상 이사를 자주 다녀야하는데 지금 케이스는 쿨링성능은 만족스럽지만 너무 부피도 크고 무거워 작은 케이스로 바꾸고 싶습니다 사양입니다. CPU: 7800X3d 메인보드: MSI pro B650M-A GPU: 갤럭시 갤라즈 4070ti (320x62mm) 쿨러: JONSBO TG-360 (3열) 지금 쓰고있는 케이스는 darkFlash DF5000입니다 쿨링 성능도 적당하며 조금 더 작은 케이스 추천해주시면 감사하겠습니다! 가격대는 상관 없습니다,"잘만 Z10 PLUS 추천 드립니다. 깊이x너비x높이(mm), 무게(kg) 기존 : 465x240x520, 9.67 잘만 : 481x220x488, 8.1 축하합니다! 행운 포인트 1점을 획득하였습니다."
235,견적 짜봤는데 의견좀 주세요,2024.07.01 16:26,이 정도면 괜찮은 견적인가요,"7500F + RTX4060TI 구성으로 견적서를 보여드릴게요! 지금 고려중이신 케이스와 비슷한 디자인에 기본팬 성능이 더 준수한 케이스로 추천드리도록 하겠습니다! -------------------- 아래 카카오톡 채널으로 문의를 남겨주시면 더 자세하게 견적상담을 드리도록 하겠습니다! 카카오채널: https://pf.kakao.com/_ErDGxj / 웹사이트 : 08dragon.com 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)) 1 204,580원 204,580원 || To. ssarasa 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 메인보드 부분이 CPU에 비해 낮게 잡혀있다 판단되는데 보다 더 안정적인 사용을 위해서라도 지금 추가되어있는 제품보다 체급을 더 높게 잡아 구성하시는 편을 추천드립니다!"
236,컴고수님들 컴퓨터 뉴비 한 번만 도와주실 분 계실까요 ㅠㅠ,2024.07.01 16:17,여기서 10만원 정도만 가격을 낮추고 싶어요 ㅠㅠㅠ 뭘 조절해야 할지 알려주심 감사하겠습니다! 음악 작업이랑 딥러닝 및 유튭 보는 용이에요!,"몇몇 부품을 수정 보완한 견적 남겨드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠9-5세대 7900 (라파엘) (멀티팩(정품)) 1 506,430원 529,500원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,000원 180,100원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 115,000원 122,200원 4 그래픽카드 MANLI 지포스 RTX 3060 Rush D6 12GB LHR 대원씨티에스 1 392,010원 406,100원 || 언급하신 사용 용도 외 다른 용도는 없으신걸까요?? 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb"
237,견적냈는데 현금가로..싸게..구매하고 싶어용!!,2024.07.01 16:17,[CPU] [AMD] 라이젠7 라파엘 7800X3D (8코어/16스레드/4.2GHz/쿨러미포함) 대리점정품 [케이스] [darkFlash] DLX21 RGB MESH 강화유리 화이트 (미들타워) [파워] [MSI] MAG A850GL PCIE5 80PLUS GOLD 풀모듈러 ATX 3.0 (ATX/850W) [메인보드] [GIGABYTE] B650M AORUS ELITE 피씨디렉트 (AMD B650/M-ATX) [SSD] [SK hynix] Platinum P41 M.2 NVMe 2280 [1TB TLC] [쿨러/튜닝용품] [3RSYS] Socoool RC-1800 Quiet 솔더링 (블랙) [CPU쿨러] [메모리] [Team Group] DDR5 PC5-44800 CL46 Elite Plus 블랙 서린 [32GB (32GB*1)] (5600) 2개 [그래픽카드] [ASUS] GeForce RTX 4070 Ti SUPER TUF GAMING O16G OC D6X 16GB 조립비!! 동생넘이 이걸루 견적을 내줬는데.. 현금가로 싸게 구매하고 싶어서요.. 가능할까요?,"7800X3D와 4070 Ti Super로 이루어진 추천 견적 남겨드립니다. 케이스는 어항케이스 DAVEN M900, 가성비 어항 케이스로 구성을 추천드리고 CPU쿨러는 듀얼타워 공냉 쿨러이며 상급 성능을 내며 소음도 정숙한 DARKFLASH D21을 추천드립니다. 그래픽카드는 3+2년을 지원하며 AS가 매우 좋은 ZOTAC 제품으로 구성해보았습니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (정품) 1 534,000원 559,940원 || 이게 어떤용도이신가여? 단적인 게임용도라 하신다면 RTX 4070 Ti SUPER 기반이라 FHD 에서는 싹다 풀옵션 + 초고주사율까지 가능하고 QHD 해상도라면 약간씩 옵션 타협을 해주시면 고주사율 확보는 무난하게 가능 할 겁니다 ^^ 그 이외 구성에서 몇가지는 변경을 해주시면 좀 더 저렴하게 맞출 수 있어 보이고 동급인데 더 싸게 싸게 맞출 수도 있을 것 같습니다? 우선 파워의 경우 구성하신 제품보다는"
238,7800x3d + 4070 super 이대로 주문해도 괜찮을까요?,2024.07.01 15:51,"프로그래밍, 영상편집, 게임용으로 사용할 컴퓨터입니다. 게임 위주로 하게될지 작업 위주가 될지는 아직 모르겠어서 7800x3d가 요즘 인기가 많은 것 같아 7900 대신 7800x3d를 고르게 되었습니다. 이대로 주문해도 호환이나 기타 다른 문제 없을까요? HDD 2개 추가 장착 예정입니다. CPU : AMD 라이젠7-5세대 7800X3D (라파엘) 쿨러 : PentaWave Z06D 메인보드 : MSI MAG B650 토마호크 WIFI 램 : SK하이닉스 DDR5-5600 (16GB) x2 그래픽카드 : MSI 지포스 RTX 4070 SUPER 게이밍 X 슬림 D6X 12GB 트라이프로져3 SSD : SK하이닉스 Gold P31 M.2 NVMe (1TB) 케이스 : 잘만 Z10 파워 : fsp HYDRO G PRO 850W 80PLUS Gold Full Modular ATX 3.0 (PCIE5)","문제없는 구성으로 보입니다! 메인보드는 조금 더 낮추어 주셔도 됩니다~ || 메인보드는 Dr. MOS 전원부 구성에 M.2를 총 3개 사용이 가능하며 그래픽카드 슬롯도 간섭 없는 위치에 있고 AS도 매우 좋은 ASRock B650M Pro RS WiFi로 구성을 추천드립니다. PCI-E 3.0 방식의 P31이 아닌, PCI-E 4.0 방식의 T500으로 구입을 추천드립니다. 속도가 2배 가량 차이납니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (정품) 1 540,720원 559,940원"
239,4070ti 슈퍼 7800x3d 견적 호환성 질문,2024.07.01 15:51,4070ti 슈퍼 7800x3d 메인으로 견적 짜보았습니다 호환성은 문제 없을까요? 게이밍 용도입니다 요??,"조금 더 가성비가 우수한 7800X3D와 4070 Ti Super 견적 남겨드립니다. 화이트 견적 구성은 동일합니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (정품) 1 534,000원 556,700원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 172,200원 180,100원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 117,900원 122,200원 || To. user_624021 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용하여 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라"
240,화이트 7800x3D + 4080super 게이밍 조합좀 봐주세요!,2024.07.01 15:49,화이트구성에 이대로 구입할라는데 괜찮을까요?,"7800X3D라면 듀얼타워 공냉쿨러로 구성을 해주셔도 됩니다! 만약, 디자인적인 부분이 마음에 드셔서 구성을 해주셨다면 아무문제 없습니다! || 게임만 하시는 걸까요? 지금 구 성이라면 조금은 과한게 있긴 합니다. 굳이 수냉 쿨러도 더 저렴한 걸로 해주셔도 될 듯 하구요 ^^ 우선 쿨러의 경우 GL360 보다는 더 저렴한 DN - 360 같은 준 끝판왕 구성만 되어도 충분 할 것 같습니다. 애당초 발열이 그렇게 높은 CPU가 아닌 부분이긴 해서요 ^^ 메인보드는 M-atx 사이즈 모델인 B650M AX ICE 만 되어도 충분 한데 이미 간섭도 없을 것 같고 문제도 없는 부분이라서요 ^^"
241,7500F 4060ti 컴퓨터 문의,2024.07.01 15:36,"안녕하세요. 컴린이입니다.. 이번에 사업준비로 컴퓨터 새로 영입하고자.. 형님들의 조언 필요합니다.. 주로 사용하는건 캐드, 포토샵, 3D모델링정도이고 아주 가끔 게임 할 예정.. 캐드같은경우도 고용량 작업을 많이 합니다. 모니터는 한성40인치 WQHD 정도 생각중이고.. 예산을 크게 잡고있진 않아서 7500F 4060ti 램 32gb ssd1tb / hdd2tb 어항케이스,,(예쁜거 못참습닏...) 이 정도 어느정도 견적 나올까요.","7500F와 4060 Ti 16GB로 이루어진 추천 견적 남겨드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)) 1 188,180원 199,250원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,100원 182,210원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 117,000원 123,860원 4 그래픽카드 MANLi 지포스 RTX 4060 Ti Rush D6 16GB 대원씨티에스 1 632,000원 654,450원 || To. user_975254 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 언급하신 스펙인 라이젠 7500F + RTX 4060 Ti 조합으로 구매하신다면 다음과 같이 추천드릴 수 있겠습니다 DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 From. 퀘이사존 공식 후원사 팜피씨샵"
242,7800x3d 이용해서 견적 부탁드립니다..,2024.07.01 15:36,7800x3d 이용해서 170에서 250정도로 짜주시면 감사하겠습니다 게임용이고 올 화이트로 해주시면 감사하겠습니다.. 쿨러는 수랭은 뭔가 누수같은게 조금 무서워서 공랭이었으면 좋겠어요 메모리는 32기가 가능할까요.? Ssd랑 hdd 둘다 있으면 좋겠고요 도와주시면 감사하겠습니다,"어떤 게임을 주로 하시며, 사용하시는 모니터의 해상도와 주사율이 어떻게 되실까요? || 7800x3d에 올 화이트로 250라면 기본 구성시 대략적으로 250 정도까진 가능한데 SSD나 HDD 둘다 넣고는 좀 어렵지 않을까 보여집니다. 그냥 SSD 1TB 정도로 미리 구성을 해주시고 차후에 HDD 추가를 하는게 좋을 듯 합니다. RTX 4070 Ti SUPER 라고 한다면 QHD 해상도 모니터 기준으로 봤을 때 최적화가 좋지 못한 게임이나 AAA급 게임 들만 옵션 타협해서 사용하시면 될 겁니다. 메인보드는 실버 느낌의 B650M PRO RS 정도면 충분 하고 쿨러는 Peerless 120 se WHITE 같은 공냉 대장급 기준 가성비라면 충분 할 겁니다."
243,4060ti 또는 4070s 견적 부탁드립니다.,2024.07.01 15:32,안녕하세요. 계속 알아보다가 고민만 너무 커져서 2-3일 뒤까지만 고민 후 결제 그냥 딱 정하고 해보려고 하는데 도움부탁드립니다ㅠ 모니터는 qhd 27gp850 듀얼 모니터로 이용중입니다. 주로 게이밍용이며 가끔 포토샵 클립스튜디오정도만 작업합니다. 하는 게임은 던파/명조정도 해요.명조 lossless scaling 쓰고 120프레임 나오는 정도가 희망입니다. 이외엔 hdd에 원래 보관한 작업한 그림들을 그냥 한꺼번에 ssd에 앞으로 보관했으면해서 ssd가 2테라였으면 합니다. 금액은 필요하면 더 늘릴 생각은 있긴한데 우선 180내로 희망합니다.,"7500F와 4070 Super로 이루어진 추천 견적 남겨드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)) 1 186,000원 199,250원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,000원 182,210원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 115,000원 123,860원 4 그래픽카드 ZOTAC GAMING 지포스 RTX 4070 SUPER TWIN Edge OC D6X 12GB 1 897,000원 893,270원 || To. user_968828 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 해당 금액대 기반이라면 라이젠 7500F + RTX 4070 SUPER 조합으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 From. 퀘이사존 공식 후원사 팜피씨샵 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요!"
