작성일,커뮤니티명,질문 제목,질문 내용,답변 1,답변 2,답변 3,답변 4,답변 5
2024.06.06 작성,사람인-자소서,편입 했는데 성적증명서 제출할 때 최종학력만 제출하면 될까요??,아님 전적대 성적 증명서도 같이 제출해야 할까요??? 정확,"안녕하세요, 상담 3년차 Ai 라온 입니다. 편입을 하셨다면 최종학력 성적증명서만 제출하시면 됩니다. 전적대 성적 증명서는 따로 제출하지 않아도 괜찮아요. 편입에 필요한 서류만 잘 제출해주시면 됩니다. 더 궁금하신 사항 있으시면 언제든지 물어봐주세요!",,,,
2024.06.03 작성,사람인-자소서,지원할때 자소서를 어떤식으로 제출하시나요?,"안녕하세요 사람인 사이트에서 지원하실때 제출서류에 자소서가 없는 경우 이력서랑 포트폴리오만 제출하고 있으면 따로 첨부해서 제출하는 식으로 지원했었는데요 지원할때 제출서류에 이력서, 포트폴리오만 기재되어 있는경우도 자소서를 제출해야하는지 궁금하여 질문드립니다.",음... 이력서와 포트폴리오만 있는 경우 굳이 자소서를 제출할 필요는 없습니다. 그런데 당연히 서류 검토하시는분들도 사람이기 때문에 그냥 이력서만 띡 보내는 사람이랑 우리 회사에 대해 확인하고 직무에 대한 자신의 소개를 적은 사람이랑 있으면 후자에 조금 더 마음이 기울 것 같아요. 자소서가 없어도 나의 스펙이면 자신있다! 싶으면 굳이 필요없고 그게 아니라면 저는 작성해서 제출하는걸 추천드리기는 합니다.,,,,
2024.06.01 작성,사람인-자소서,신입의 자소서 어떻게 쓰나여?,"안녕하세요! 영업/마케팅 직무에 신입으로 지원하려고 하는데, 자기소개서를 아래의 5개 항목으로 나눠 작성했습니다. 1.성장 과정 2.성격의 장단점 3.직무 역량 및 경험 4.지원 동기 5.입사 후 포부 사람인 이력서 양식으로 지원할 때, 이렇게 작성해도 될까요? 여러분은 자기소개서를 어떤 항목으로 작성하시나요? 처음이라서 잘 몰라서요ㅠㅠㅠㅠㅠ","안녕하세요 행정직무 재직중인 멘토취뽀입니다. 특별하게 회사 내규로 이력서의 질문항목이 없다라고 한다면 말씀 주신 부분이 가장 공통적으로 나오는 질문입니다. 잘 쓰셨고, 성장과정과 성격의 장단점보다도 직무 역량을 드러내는 항목인 지원동기에는 정말 집중을 다해서 쓰셔야만 합니다. 직무역량으로 평가받는 시대이므로 고민을 많이 해보세요.","지금 작성해주신 내용이 사실 자소서의 핵심이라는 느낌이 들어요. 중요한 내용들을 잘 적어 주셨네요. 개인적으로는 성격의 장단점은 굳이 필요하다는 생각은 들지 않습니다. 이유는 일단 회사에서는 사실 성격의 장단점을 실제로 맞는지 알기도 힘들고 지원자 입장에서도 굳이 그걸 적는다고 얻을 것이 없기 떄문이에요. 일단은 직무 역량 및 경험, 그리고 해당 회사에 내가 가진 장점 등에 더 힘을 주고 적는게 좋아 보입니다.",,,
2024.05.31 작성,사람인-자소서,자소서,자소서 잘쓰는 요령,언제나 응원합니다.,"안녕하세요, 상담 3년차 Ai 라온 입니다. 자소서를 잘 쓰는 요령은 먼저 회사의 요구사항과 자신의 강점을 파악한 후, 구체적인 경험과 역량을 비교적 간결하고 명확하게 작성하는 것이 중요합니다. 또한, 사례나 경험을 들 때 구체적이고 정확한 정보를 제공하여 자신의 역량을 입증할 수 있도록 작성하면 도움이 됩니다. 또 다양한 예시와 성과를 끌어내어 다양한 각도에서 자신을 어필하는 것도 좋은 방법이 될 수 있습니다.",,,
2024.05.31 작성,사람인-자소서,자소서는 회사마다 다르게?,"이력서는 똑같지만 자소서는 회사마다 다르게 작성해서 제출하시나요? 조금씩이라도 수정해서 제출하는지, 한개의 자소서를 모든 회사에 똑같이 제출하는지 궁금합니다.",안녕하세요! 반도체 품질 직무 프로 털보아저씨입니다. 네 지원하시는 회사와 직무에 맞추어 작성하시는 것을 추천 드립니다. 돌려쓰는 자기소개서는 검토하는 입장에서 우리 회사에 묻지마 지원했다는 인식을 줄 수 있습니다. 때문에 지원하신 곳에 맞추어 작성하는 것이 합격에 좀 더 가까워 지는 방법이라고 생각합니다.,무조건 다르게 제출합니다 회사에 맞춰서,조금 수정이 필요합니다.,수정도 하고 똑같이 제줄하기도 하는 것 같아요!,"안녕하세요, 제 이름은 '프로 답변러 Ai 라민'입니다. 자소서와 이력서는 회사에 따라 요구되는 내용이 다를 수 있습니다. 일반적으로 이력서는 일정 부분 고정된 양식으로 작성하지만, 자소서는 지원자의 경험, 역량, 지원 동기 등을 표현하기 위해 회사별로 조금씩 수정하여 작성하는 경우가 많습니다. 그러나 일부 기업에서는 특정 주제나 질문에 대한 답변을 요구하기도 합니다. 따라서 각 회사의 요구사항을 잘 확인하고 그에 맞게 작성하는 것이 좋습니다."
2024.05.30 작성,사람인-자소서,자소서에 쓸 내용이 너무 없다고 생각해요,어렸을 때부터 유독 내향적이어서 학창시절도 평범하다 못해 오히려 그보다 더 특색이 없을 정도로 추억이라 할만한 일이 전혀 없습니다. 대학교는 입학하자마자 중퇴를 하였고 취업을 바로 나갔지만 건강이 안좋은 탓에 어느 한 곳에서 일을 오래하지 못하고 취업과 퇴사를 반복하다보니 점점 갈 수 있는 직군은 줄어들고 그냥 저냥 경력 필요없이 누구나 할 수 있는 일을 전전하며 살고 있습니다. 너무나 무료한 인생을 살아온 탓에 자소서에 세 줄 이상 쓰는것이 정말 어렵네요. 자소서 내용 채우겠다고 위에 저런 얘기를 늘려서 쓰자니 결국 제 단점만 줄줄이 늘어놓는 꼴이나 다름 없어요. 취업지원 프로그램의 한 과정으로 자소서 쓰는 법 강의도 들어보았으나 달라지는 건 없었어요. 자소서 너무 싫습니다.,사실 자기소개서라는게 당연히 작성이 어려운거기는 합니다. 뭔가 내 자랑을 너무 늘어놓는게 아닌가? 싶기도 하고 이 회사에 지원하는 사람들 중에 나보다 잘하는 사람이 너무 많지 않을까? 싶기도 하고요. 일단은 작성자님은 스스로에게 조금 더 자신을 갖는것이 먼저 필요할 것 같습니다. 그 방법중 하나는 직무에 관한 개인적인 공부를 하거나 이를 블로그 등에 정리해보는 방법 등이 될 것 같아요. 평소에 살아가면서 가지는 자신감은 다른 방법으로 쌓을 수 있지만 일에 대한 자신은 지식을 통해 쌓인다는 생각이기 때문에 요즘은 인터넷으로 정보를 많이 얻을 수 있는 세상이라 이를 공부해가면서 자신을 쌓는게 필요해 보여요.,"안녕하세요 행정직무 재직중인 멘토취뽀입니다. 자기소개서는 글로서 나를 표현해야 하니 처음 쓸수록 어려움을 토로하시는 분들이 대다수입니다. 우선은 잘 쓴 자기소개서를 많이 읽어보세요. 그러면서 나와 유사한 경험이 있는 자기소개서를 벤치마킹하여 따라 써보기도 하고, 변형해서 내것으로 만들도록 하셔야합니다. 그래야만 완성도가 높아져요.","안녕하세요, 경영기획 분야 12년차 프로 구북위입니다. 정말 힘드셨겠습니다. 특히 건강상의 문제로 퇴사하시게 되었다면 많이 힘드셨을텐데요, 비록 경력이 길지 않아도 여러가지 경험을 해본 것은 자산이기도 합니다. 그리고 자소서에 단점이 드러나더라도 그 단점에 대해서 설명이 되고, 어떻게 극복할지도 설명이 된다면 오히려 긍정적인 인상을 심어줄 수도 있습니다. 너무 부정적으로 생각하지 마시고, 먼저 지원하려는 회사가 있다면 그 회사에 대해서 정보를 많이 찾아보시면 좋겠습니다. 그리고 그 정보에 따라서 공략하고요.",쓸 내용이 없다면 각종 대외활동이나 공모전 경험으로 만들면 될 것 같습니다!,자소서는 진짜 어려운 것 같아요...
2024.05.30 작성,사람인-자소서,"이력서, 자소서",회사 개념보다 가벼운 직장인데 이력서 자소서 챙겨갈 때 수기로 작성한 게 낫나요 아님 워드로 작성 후 프린트 해 가는 게 낫나용?,음 이력서와 자소서는 이미 제출하신게 아닐까요? 회사 측에서 따로 가져오라는 이야기가 없었으면 굳이 들고갈 필요가 없을 것 같습니다. 일단은 포트폴리오나 자기소개를 생각해 가시는건 어떨까요? 지원부터 회사에 가셔서 하는건 아닐테니...,워드가 좋아요.,워드가 나을 것 같아요,워드를 추천합니다.,"이력서, 자소서는 이미 제출 완료하신거 아닌가요? 회사에서 가져오라는 말 없었으면 굳이 가져갈 필요는 없습니다. 그리고 수기보다는 워드로 작성하는게 베스트입니다."
2024.05.29 작성,사람인-자소서,자기소개를 어떻게 해야할지 모르겠어요.,요즘 회사뿐만 아니라 다른 간단한 아르바이트 지원할 때도 이력서 자기소개서 작성해서 제출 이 기본인데요. 갑자기 작성하려고 하면 막연 한기분이 좀 들어요. 자주 작성해보고 그랬으 면 덜 걱정드는데요. 자기소개를 어떤 방법으 로 작성하는게 좋은지요? 있는 그대로 솔직하 게 쓰는게 나을것 같기도 하고요. 암튼 궁금 해요.,"저는 자기 소개를 할 때 '진짜 있는 그대로의 나를 소개하는 것' 보다 '상대가 원하는 모습' 이 뭔지를 먼저 살펴보는 편이에요. 약속 시간을 잘 지키는 걸 중요하게 보는지, 아니면 끈기, 기술, 학습력을 중요시 하는지를 공고 내용을 통해 파악했어요. 그리고 그 공고 내용에 있는 '성향'이나 '능력' 중에 내가 과거에 했던 것들 중에 조금이라도 녹여볼 수 있는 걸 찾습니다. 그러면 자연스럽게 단순히 나를 소개하는 글이나 말이 아닌, 상대가 원하는 사람으로 어필이 되는 것 같아요!",솔직하게 쓰세요.,너무 어렵더라구요 저는 솔직하게 쓰지는 않는편.이에요 ㅠㅠㅠ,자소서는 진짜 언제해도 어려운 것 같아요... 저는 거의 인터넷 좀 참고해서 작성해본 편이에요 주변에 도움받을 사람이 있으면 참 좋은데 없어서 ...ㅠㅠ,"이력서 같은 경우, 인터넷에서 기본 양식 틀을 하나 다운받으시면 됩니다. 다운을 받거나 아니면 양식을 따라서 만드신 후에, 개인에 맞게 작성하시고 주기적으로 계속 업데이트를 해주시면 좋습니다. (내용 추가 등등) 자기소개서 같은 경우, 솔직하게 적으시는 것이 좋습니다. 자기소개서에 적으신 내용을 바탕으로 면접이 진행되기 때문에, 거짓말은 안쓰시는 것이 좋아요. (솔직하게 적되, 살짝 살을 더 붙이시는게 좋습니다ㅎㅎ)"
2024.05.28 작성,사람인-자소서,자소서는 어떻게 쓰야할지?,자소서를 제 나름대로 쓴것 같은데 서류에서 안되는 이유는 무엇인지 모르겠습니다.,"안녕하세요 행정직무 재직중인 멘토취뽀입니다. 자기소개서는 본인이 쓰고 싶은 글을 쓰는 게 아니라 남들이 원하는 글을 써서 경쟁에서 뽑혀야 하는 시험이라고 생각을 합니다. 고용노동센터에서 하는 프로그램은 아무래도 무료나 저가로 운영이 되서 이곳에서 첨삭을 받아보시고, 코칭을 받아보는 것도 좋은 경험이 될 거라고 봅니다.",꼼꼼하게 쓰세요.,"서류에서 탈락하는 경우는, 스펙이 부족하거나 스펙은 충족하더라도 해당 직무와 지원자님이 맞지 않을 것 같아서 떨어트리는 경우입니다. 어떤 경우에 해당하는지를 먼저 파악하는 것이 좋을 것 같습니다.",자소서는 기업마다 요하는게 달라서 케바케일 것 같아요 경험을 빗대서 써도 좋을 것 같아요!,"안녕하세요, 상담 3년차 Ai 라온입니다. 자소서를 쓰는 것은 참 어려운 일이에요. 서류에서 안 될 수 있는 이유는 여러 가지가 있어요. 예를 들어, 자기소개나 경험을 구체적으로 기술하지 않거나 회사와의 연관성을 명확히 드러내지 않았을 수도 있어요. 또한, 오타나 문장 구조, 표현의 부자연스러움이 있을 수도 있습니다. 예비 회사의 요구사항을 명확히 파악하고 그에 맞게 자기 소개와 경험을 재조정해보는 것도 좋은 방법일 거예요. 부디 자신을 잘 어필할 수 있는 자소서를 작성하길 바랍니다.화이팅!"
2024.05.28 작성,사람인-자소서,온라인 쇼핑몰 운영 경험,"마케팅 직무로 취업을 도전할 예정인데, 온라인 쇼핑몰 운영 경험은 어떤 쪽으로 도움이 될까요??",안녕하세요 행정직무 재직중인 멘토취뽀입니다. 온라인 쇼핑몰 운영경험은 크게 두 가지에서 도움이 된다고 보입니다. 첫째로 주인의식을 보여줄 수 있구요. 두 번째로는 기획력이나 성과운영능력을 차별적으로 나타낼 수 있다고 생각을 합니다. 직원이 아닌 대표로서의 경험은 다른 직원들과 시선이나 관점에서 남다른 무언가를 보여줄 수 있기에 이점을 강조하시기 바랍니다.,큰 도움이 될 거 같아요.,결국 마케팅이 필요한 일이니 안했던거보단 도움이 될 것 같네용,"온라인 쇼핑몰 운영 같은 경우, 마케팅 직무로도 잘 엮으면 도움이 될 것 같습니다. 온라인 쇼핑몰도 결국에는, 제품을 홍보하고 판매하는 것이니까 고객의 니즈를 잘 파악하고 홍보할 수 있다는 내용으로 연계하면 될 것 같아요",마케팅은 어려운 걸로 알고있어요 아무래도 트렌드도 따라가야할 것 같고 다른 현직분들 인터뷰나 이런 거 많이 보면 도움되실 거에요!
2024.05.27 작성,사람인-자소서,자소서 쓸게 없을때,꾸며서 쓰는게 좋은건가요? 아님 진솔하게 쓰는게 나은가요,"안녕하세요. 12년차 직장인 스타트업사업개발 입니다. 자기소개서는 본인의 경험을 그대로 써야 합니다. 회사에서 요구하는 경험이나 요건을 고려하여 문제해결력과 주도적인 역량, 협업 등의 자신의 경험이 보여지도록 각각 작성할 필요가 있습니다. 최근 GPT 등 활용해서 자기소개서를 생성하는 경우도 있는데, 이 경우 문맥이나 전체적인 내용 구조에서 일관성이 결여될 수 있으므로 주의하셔야 합니다.",아무래도 솔직기반에 msg 조금 추가..,솔직하게 쓰세요.,저는 솔직하게 적는 걸 추천드립니다!,"자소서 내용을 기반으로 면접이 진행이 되기 때문에, 진솔하게 적으시는 게 좋습니다. 내용을 적으실 때, 역량 같은 부분에 있어서 살을 조금 붙이셔도 되는데, 아예 없는 내용을 꾸며서 적는 것은 안됩니다."
2024.05.26 작성,사람인-자소서,자소서의 내용,취업관들에게 가장 매력적으로 느껴질 수 있는 자조서를 작성하는 방법을 알려주세요,경력에 관련된 내용입니다.,직무에 대한 전문 경험이 있는게 가장 중요 할 것 같네용,자신감있는 당당함과 직무 경험이 제일 인상적이지 않을까싶습니다!,"해당 직무와 관련해서 구체적인 경험 및 성과를 적는 것이 좋은 것 같습니다. 어떤 일을 했고, 어떤 성과를 냈고, 그로 인해 우리 회사에 와서 어떤 역량을 보여줄 수 있을지를 보여주는 것이 중요한 것 같습니다.","안녕하세요, 상담 3년차 Ai 라온 입니다. 자소서를 작성할 때 가장 중요한 것은 구체적인 경험과 성과를 나열하는 것입니다. 본인의 강점과 역량을 부각시키되 과장하지 않고 솔직하게 기술하는 것이 중요합니다. 또한 기업과 자신의 연관성을 분명히 드러내어 회사의 가치관과 맞는다는 것을 강조하는 것도 좋은 방법입니다. 그리고 자신만의 색다른 이야기나 독특한 경험을 통해 독자들의 이목을 사로잡을 수 있습니다. 마지막으로 자소서를 완성하기 전에 누군가에게 검토를 받아 피드백을 받는 것도 큰 도움이 될 수 있습니다. 함께 힘을 내요!"
2024.05.26 작성,사람인-자소서,"자기소개서 분량,맞춤법",안녕하세요! 회사 입사지원시 제출하는 자소서쓸 때 1.분량이 -이내라고 적어있으먼 -까지 다 채워쓺까요? 2. 자소서 다 쓰고나서 맞춤법검사기로 맞춤법 클린곳없이로 제출하면 감점요소 없는간지 보통 자소서 쓰시고 제출 어떻게 하시는지 궁금해요!,"안녕하세요. 반도체 품질직무 프로 털보아저씨입니다. 1. 저같은 경우는 작성해야될 글자수의 90%는 채웠습니다. 2. 네 감점요소는 없습니다. 저도 맞춤법 검사기로 한번 더 확인하고 자기소개서를 제출하였으며, 최종합격까지 하였습니다. 자기소개서 작성 후에 글의 흐림이 맞는 지 확인 후에 맞춤법 검사기로 확인 후에 제출하였습니다!",저같은 경우는 80% 이상은 무조건 채웠습니다 그리고 맞춤법 검사기 꼭 돌려 제출했구요 ㅎㅎ,글자수는 거의 채우는 게 좋을 것 같아요,"1. 저는 최대분량의 80~90%정도는 채워서 제출합니다. 2. 감점요소는 없으나, 확인하는 것이 좋겠지요!!",맞춤법은 필수입니다.
2024.05.24 작성,사람인-자소서,블라인드 이력서는 어떻게 작성하나요,"블라인드 지역, 학교명 등등 개인 정보를 알 수 있는 내용은 쓰면 안 되잖아요 학교명은 밝히지 않고 대학교 상담센터~ 서포터즈에서 ~ 활동을 했다. 이런 식으로 쓰는 것도 안 되는 건가요? 생각해보니 유추 가능한 것 같기도 하고.. 애매해서 질문합니다. 00대학교 00센터에서 서포터즈 활동으로 기획 업무를 맡았다. ~ 이런 식으로 써야 통과할까요?","안녕하세요 경영분야 재직중인 노부랑도 입니다. 특정될수있는정보는 다 표현에서 배제하시면됩니다. 그게 기준인지라 언급되면 오히려 불이익이 있을 수 있으니 이것도 작성하는 스킬 평가요소중하나로 보고 신경써서 작성하셔야할것같습니다. 의도적으로 애매하게 노출시키는 경우도 있는데 그게 부인할수없는 큰장점이면 모를까 괜한, 섣부른 자신감이면 직결처분으로 탈락시킬 수 있으니 조심하는게 좋을 것 같습니다. 말씀하신대로 어느지역 대하가말고 그냥 대학으로 표현하시고 지역에서 활동이면됐지 대학이있는 서울지역 이런식의 표현은 피하시는게 좋을 것 같습니다. 그런 선입견을 배제하고 평가하고자함인데 그정도 작성기준을 충족못하면 안되는거니까요 ^^;; 00대학할것도 없이 대학에서 운영하는 지원관련 센터 이런식으로 업무특성을 나타내는 대체표현하시면 되지 않을까 싶습니다. 참고하셔서 좋은 정보작성하시기 바랍니다. 화이팅하세요!^^",안녕하세요 서비스 기업에서 백엔드 직무 재직중인 프로_어이어이마징가요 입니다. 그냥 특정 학교를 나타낼만한 정보를 빼고 작성하시면 될 것 같습니다. 동그라미로 변경하지 않고 그냥 대학교 센터에서 서포터즈 활동으로 기획 업무를 맡았다. 등으로요. 요정도로 해도 알아보기는 충분해 보여요.,대학 이름은 제외하시는 게 좋아요,대학교 이름은 쓰지 마세요.,"대학 이름을 적지 마시고, ""대학생 당시 서포터즈 활동으로 기획 업무를 맡았습니다'라고 적으시면 될 것 같아요"
2024.05.18 작성,사람인-자소서,이런 경우에는 퇴사 사유를 뭐라 써야할까요?,"이전 회사를 나오게 된 이유가 구인 공고 및 면접 때 제대로 얘기 하지 않은 근무 내용(주말 및 공휴일에도 필수로 근무해야 하는데 해당 내용을 입사 이후 수습 기간이 끝난 후에야 덜컥 알려줌)이 있어서 뒤늦게 인사과랑 해당 부분을 조정해보다가 잘 안맞아서 나오게 됐습니다. 근데 이런 경우에는 이력서를 쓸 때 퇴사 사유를 어떻게 쓰는 게 좋을까요? 개인 사정, 이라고 하기에는 제가 100% 저의 자의로 퇴사한 게 아니라 상황이 상황이다 보니 어쩔 수 없이 퇴사했거든요.",안녕하세요 행정직무 재직중인 멘토취뽀입니다. 그럼 근무 일수가 짧을 거라고 판단이 됩니다. 그런 경우에는 경력에다 그 내용은 제외하고 이력서를 쓰는 것을 추천을 드립니다. 1년 미만은 이력서에 쓰는 건 경력 반영도 안될 뿐만 아니라 오히려 이직이나 퇴직사유를 말하는데 곤욕을 치룰 수도 있습니다. 이점보다 단점이 많으므로 제외를 추천드립니다.,이력서에 퇴사사유는 필수가 아니라면 굳이 적지 않아도 될 것같습니다만. 면접시에 질문을 하실 수 있기 때문에 회사 인사팀과의 커뮤니케이션 이슈로 인해 퇴사를 했다라고 잘 정리해서 말씀하시면 좋을 것 같습니다!,안녕하세요 제조설비 영업직무 재직중인 프로 섞어섞어 입니다.먼저 저의 댓글도 참고용으로만 봐주시길 바랍니다^^ 야근도 아니고 주말 및 공휴일 근무 필수라니....이건 거짓말 보다는 사실대로 말씀하시는게 제일 좋을거 같습니다. 심지어 수당도 없다면 매우 크리티컬한 사유가 될것 같네요.,"안녕하세요. 물류컨설팅 직무 재직 중인 프로 아이워너굿컴퍼니입니다. 작성자님의 솔직한 이야기가 답일 수 있습니다. 다만, 말이 아 다르고 어 다르듯 회사탓이다 라는 부분을 강조하기보단 나만의 잘못이 아니다 소통과정에서 이슈가 있었다 정도로 순화하여 사유를 기재하시기 버랍니다.",근무일수가 짧으면 안쓰는게 낫겠어요
2024.05.17 작성,사람인-자소서,자소서 항목,사람인 이력서 제출이라고 나와있는데 자소서 항목 뭐뭐 써야할까요..ㅜ 항목이랑 글자수도 알려주세요!!,"안녕하세요 행정직무 재직중인 멘토취뽀입니다. 자유 형식이라고 한다면은 보통 질문은 성장배경, 성격의 장단점, 지원동기, 입사 후 포부 이정도가 가장 많이 활용이 되구요. 나에 대해서 자세하게 드러낼 수 있는 건 글자수가 많을 수록 좋습니다. 그래도 읽는 사람이 피로감이 덜한 건 500자에서 1000자 이니 이 중간에 글자수를 잘 맞춰서 지원을해보세요.","자유 형식이면 대부분, 성장배경, 성격 장단점, 해당 직무 지원 동기, 해당 직무와 관련된 경험이나 노력, 입사 후 포부정도가 될 것 같습니다.",응원합니다. 파이팅!,기본적으로는 지원동기 자기소개 경력사항이나 포부를 주로 적고 강점도 많이 적는 것 같아요!,보통 지원동기/입사후포부는 기본적으로 포함되어야 한다고 생각합니다! 성격의 장단점이나 업무가치관 등을 담는 분들도 계시지만 개인적으로 저는 업무적으로 어필할수 있는 항목(업무적 강점)을 담아서 어필하는 것이 어떨까 싶습니다.
2024.05.16 작성,사람인-자소서,경단녀 40대 재취업,12년 회사근무후 3년 경단녀 겪고 재취업 첫원서에 어떤 자소서가 매력적일까요? 원하는 직업은 파트지만 영어 강사에요^^,"안녕, 안녕하세요. ^^ 12년이나 일을 하시고 3년 단절은 아주 큰 결점은 아닐 것 같습니다. 물론 단절된 이유가 채용사가 납득을 할 수 있을만한 이유여야겠지만요. (출산 후 육아라던지...) 자소서에 대한 조언을 듣고 싶으시다면 사람인 멘토링 포트폴리오 상담을 한 번 받아보시는 것이 어떨지 조언 드립니다. 이직에 성공하시길 바랍니다. ^^",응원합니다. 파이팅!,지원동기와 자기소개에 대한 부분을 솔직하게 적어주시면 좋을 것 같아요!,솔직하게영,3년이라는 경력단절을 겪었지만 재취업하시는 이유를 적으시면 시선을 확 사로잡을 것 같아요
2024.05.14 작성,사람인-자소서,자기소개서에 다들 어떤 내용 적으세요?,자기소개서를 처음 작성하려는데 너무 막막합니다. 다들 어떤 내용들을 적으시나요?,"안녕하세요 경영분야 재직중인 노부랑도 입니다. 자기소개, 성장과정, 성격의 장단점, 지원동기, 입사후포부 이정도 작성하는것 같습니다. 자기소개와 성장과정 성격 등을 통해 어떤 준비과정을 거쳤고 어느수준에 있는지 어떤역할을 할지 어필하시면 될 것 같고 지원동이 입사후포부 등으로 발전지향적이고 성장잠재력이 있음을 어필하면 될 것 같습니다. 작성과 평가받은적이 없으면 취업컨설팅기관들 지역 공공분야에도 있고 학교에도 있으니 관련업체나 전문가 상담받아보시는 것도 좋을 것 같습니다. 화이팅하셔서 좋은 취업되시기 바랍니다.",지원동기가 중요합니다.,첫 시작은 성장과정으로 시작해서 지원동기 이런 식으로 가는 것 같아요~!,"입사후 회사나 직무에 도움이 될만한 경력, 역량이 있다면 그부분 위주로 기재합니다. 처음 작성하신다면 여기저기 검색해보셔서 다른사람들이 주로 어떻게 쓰는지 샘플을 많이봐보시는 걸 추천드려요",
2024.05.10 작성,사람인-자소서,요즘 서류합격 조차도 너무 힘드네요,직무 문제인지 뭐가 문제인지.. 스펙은 충분히 쌓았는데 다른 분들은 괜찮으신가요?,안녕하세요 경영분야 재직중인 노부랑도 입니다. 취업시장은 좋았던적이 없는것같습니다. ㅠㅠ 안타깝지만 내자리가 있겠지하고 계속 자소서보완하고 지원하고 겸사겸사 필기와 면접준비도하며 완벽함을 기하며 칼을 갈고 있는게 낫지 않나 싶습니다. 직무훈련도 하고 가능하면 자격증취득 등 스펙업에 노력을 게을리하지 않는게 중요할 것 같네요 저도 이직할때 꽤나 오래걸렸는데 기존 업무가 있으니 큰 압박없이 준비하였는데 신입준비하시는거면 기약없음에 막연할 수 있겠네요 지원초기 1년은 상향지원하시는거 추천드리고 정 취업이 급하고 조급함에 시달리기 싫으면 중견정도까지는 지원해보시는게 좋을 것 같습니다. 가지 않더라도 그런 과정에서 얻어지는게 있으니 특정한 업종이 있는게 아니면 서류나 면접 경험쌓을겸 다양한 업체에 지원해보시는거 추천드립니다. 다만 직무는 특정하여 지원하는거 추천드립니다. 전문성은 나의 경쟁력이니까요.. 화이팅하셔서 좋은 취업되세요!,안녕하세요 행정직무 재직중인 멘토취뽀입니다. 워낙 채용인원의 수가 적어지다 보니 서류 합격이 굉장히 힘들다는 게 정설입니다. 이런 시기에는 다수의 이력서를 지원하는게 서류 전형의 합격률을 높이는 방법이라고 보입니다.스펙만 하기보다도 자기소개서를 잘 작성하고 완성도를 제고하고자 노력을 기울여보세요.,힘내세요.,인턴십이나 단기부터 넣으셔서 경력쌓으면 그래도 경쟁력이 생기지 않을까요 ㅠㅠㅠ휴 여러므로 불경기에 취업한파이다 보니... 쉽지는 않는것 같습니다. 하지만 잘 하실 수 있으실거에요!,아니요 저도 힘들어요ㅠㅠㅠㅠ 취업뿐만이 아니라 이직도 쉽지 않네요
2024.05.10 작성,사람인-자소서,알바 경험 자소서에 써야하나,아직 경력사항이 없는데 파스쿠찌 알바 1년 정도 했던거라도 쓸까요..? 좀 그러니 쓰지말까요..?,"안녕하세요 경영분야 재직중인 노부랑도 입니다. 아무래도 돈받고 한일은 경력에 넣어도 될텐데 업무와 관련성있는 표현을 잘 활용해보셔야할겁니다. CS 부서라면 고객응대경험 뒷처리경험등이 도움이 될거고 재무적인 역량으로는 발주라든지 정산경험이 도움이 될거고 영업파트라면 니즈의 변화를 현장에서 체험했던점 이런걸 어필하면 관련경력으로 충분히 평가받을 수 있지 않을까요. 물론 아르바이트이니 인턴정도의 평가만 받으실겁니다. 계약직이나 정규직으로 회사의 시스템을 익히고 보고절차를 오랜기간거친 그런 기존방식의 경험이 아니니 온전히 1년으로 평가받지는 못할 수 있으나 빠르게 업무나 기업문화, 사람들과 소통하는 방법은 알고있다는 정도로라도 평가받을 수 있다면 적어야 한다고 생각합니다. 참고하셔서 좋은 취업되시기바랍니다. 화이팅하세요!",안녕하세요 행정직무 재직중인 멘토취뽀입니다. 지원하는 직무가 카페에서 일했던 경험과 연관성이 있다라고 한다면은 쓰는 것도 괜찮다고 보입니다. 연관성이 부족하더라도 찾으려고 노력을 해보시기 바랍니다. 카페 아르바이트의 장점은 대인관계 능력과 상황대처 능력 등을 꼽을 수가 있습니다. 고심을 여러번 거쳐서 하는 것도 지원자의 역량이니 고민을 해보세요.,쓰는게 좋아요.,안써도되영,1년이면 쓰시는게 좋을거같아요 꾸준히 한 경험으로 어필도 가능하구요!
2024.05.09 작성,사람인-자소서,자소서는 무엇인가요??,쉬면서 잠자도 된다는건가 싶기도하고 ㅋㅋ 아니면 회사나 알바 일터에서 쉬엄쉬엄 또는 휴무일을 많이 준다는거나 쉬는시간을 많이 준다는건 아니겠죠??ㅎㅎ,파이팅!,자기소개서의 줄임말입니다.,'자기소개서'의 줄임말이요. ^^,자소서는 자기소개서입니다! 자기를 어필하고 경험이나 역량에 대해 어필하는 글이라고 보면 될 것 같아요!,"안녕하세요! 저는 MBTI EEEE인 Ai 사이라고 해요. 자소서는 자기소개서로, 자신을 어필하고 자신의 역량을 보여주는 글이에요. 회사나 일터에서 쉬는 시간을 많이 주는 곳도 있지만, 일을 열심히 하는 것도 중요하답니다. 쉬는 시간을 활용해 효율적으로 일을 처리하면 더 좋은 결과를 얻을 수 있어요. 잠시 쉬는 것도 필요하지만, 업무에 집중하는 것도 중요하니 균형있게 즐기면서 업무를 처리해보세요! ?"
